CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
16-01-0138-46,16-031,alta verapaz,coban,colegio coban,km.2 salida a san juan chamelco zona 8,77945104,mercedes josefina torres galvez,julio cesar villela amado,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),alta verapaz
16-01-0139-46,16-031,alta verapaz,coban,colegio particular mixto verapaz,km 209.5 entrada a la ciudad,77367402,mercedes josefina torres galvez,desconocido,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),alta verapaz
16-01-0140-46,16-031,alta verapaz,coban,"colegio ""la inmaculada""",7a. avenida 11-109 zona 6,78232301,mercedes josefina torres galvez,virgina solano serrano,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),alta verapaz
16-01-0141-46,16-005,alta verapaz,coban,escuela nacional de ciencias comerciales,2a calle 11-10 zona 2,79514215,rudy adolfo tot och,desconocido,diversificado,oficial,urbana,abierta,monolingue,matutina,diario(regular),alta verapaz
16-01-0142-46,16-005,alta verapaz,coban,instituto normal mixto del norte 'emilio rosales ponce',3a ave 6-23 zona 11,79521468,rudy adolfo tot och,desconocido,diversificado,oficial,urbana,abierta,bilingue,vespertina,diario(regular),alta verapaz
16-01-0143-46,16-031,alta verapaz,coban,colegio particular mixto imperial,5a. calle 1-9 zona 3,57101061,mercedes josefina torres galvez,hecotr waldemar tot coy,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,alta verapaz
16-01-0145-46,16-006,alta verapaz,coban,instituto de tursmo y aviacon del norte i.t.a.n,3 av. 5-28 zona 4,54641454,efrain caal cuc,luis fernando soto,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),alta verapaz
16-01-0147-46,16-031,alta verapaz,coban,"colegio ""la inmaculada""",7a. calle 11-09 zona 6 coban,49532425,mercedes josefina torres galvez,mercedes quiros quiros,diversificado,privado,rural,cerrada temporalmente,monolingue,doble,diario(regular),alta verapaz
16-01-0150-46,16-006,alta verapaz,coban,instituto intercultrual altaverapacencese -iiav-,3a. avaenida 1-23 zona 4,desconocido,efrain caal cuc,guillermo estuardo vasquez morales,diversificado,privado,urbana,cerrada temporalmente,bilingue,doble,fin de semana,alta verapaz
16-01-0155-46,16-031,alta verapaz,coban,"liceo ""moderno latino""",11 avenida 5-17 zona 4,79522555,mercedes josefina torres galvez,jorge benedicto coc pop,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,alta verapaz
16-01-0428-46,16-005,alta verapaz,coban,instituto nacional de educacion diversificada,"diagonal 08 8-05 zona 8, barrio canton las casas",79945251,rudy adolfo tot och,heidy marybel perez del vale,diversificado,oficial,rural,abierta,monolingue,vespertina,diario(regular),alta verapaz
16-01-0471-46,16-031,alta verapaz,coban,"colegio de informatica ""ceninfav""",12 av. 2-12 zona 1,79545566,mercedes josefina torres galvez,maria magdalena bol cu,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),alta verapaz
16-01-0478-46,16-031,alta verapaz,coban,"colegio evangelico ""la patria""",finca chimaxito zona 11,79514440,mercedes josefina torres galvez,eligio pastor garcia,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),alta verapaz
16-01-0481-46,16-031,alta verapaz,coban,liceo americano del norte,5ta. calle 2-23 zona 4,79514754,mercedes josefina torres galvez,jose cupertino reyes garcia,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),alta verapaz
16-01-0483-46,16-031,alta verapaz,coban,liceo americano del norte,5ta. calle 2-23 zona 4,79514754,mercedes josefina torres galvez,jose cupertino reyes garcia,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,alta verapaz
