CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
15-01-0050-46,15-001,baja verapaz,salama,escuela normal rural no.4 dr. elizardo urizar leal,13 avenida 7-41 zona 2 barrio hacienda de la virgen,79400455,edgar leonel ramirez gonzalez,elgi walter boteo garcia,diversificado,oficial,urbana,abierta,monolingue,matutina,diario(regular),baja verapaz
15-01-0051-46,15-001,baja verapaz,salama,colegio particular mixto tezulutlan,"diagonal 4, 1-24 zona 2",79400182,edgar leonel ramirez gonzalez,elia nivea lopez de sagastume,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),baja verapaz
15-01-0052-46,15-030,baja verapaz,salama,liceo mixto 'san mateo',9a. avenida 6-67 zona 1,79401926,nelson joel hernandez hernandez,carmen alicia hernandez de barrientos,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),baja verapaz
15-01-0087-46,15-001,baja verapaz,salama,instituto nacional de educacion diversificada,"13 avenida 7-41, zona 2, barrio hacienda de la virgen",79400455,edgar leonel ramirez gonzalez,elgi walter boteo garcia,diversificado,oficial,urbana,abierta,monolingue,vespertina,diario(regular),baja verapaz
15-01-0099-46,15-001,baja verapaz,salama,"colegio particular mixto ""tezulutlan""","diagonal 4, 1-24 zona 2",79400182,edgar leonel ramirez gonzalez,elia nivea lopez garciia,diversificado,privado,urbana,abierta,monolingue,nocturna,diario(regular),baja verapaz
15-01-0102-46,15-001,baja verapaz,salama,colegio particular mixto de infantes emanuel,"5a. avenida 6-35, zona 1, barrio agua caliente",79540899,edgar leonel ramirez gonzalez,maria concepcion morales enriquez de aguilar,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,baja verapaz
15-01-0109-46,15-030,baja verapaz,salama,centro estudiantil miguel angel asturias,"ruta 4, zona 5, del barrio santa elena",56913283,nelson joel hernandez hernandez,jorge emilio soto lopez,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,baja verapaz
15-01-0111-46,15-001,baja verapaz,salama,colegio particular mixto ciencia y desarrollo,"ruta 4, 12-68 zona 5, barrio santa elena",79540830,edgar leonel ramirez gonzalez,victor gerardo rodas cardona,diversificado,privado,urbana,abierta,monolingue,doble,diario(regular),baja verapaz
15-01-0112-46,15-001,baja verapaz,salama,colegio particular mixto ciencia y desarrollo,"ruta 4, 12-68 zona 5, barrio santa elena",79540830,edgar leonel ramirez gonzalez,victor gerardo rodas cardona,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),baja verapaz
15-01-0113-46,15-001,baja verapaz,salama,colegio particular mixto ciencia y desarrollo,ruta 4 12-68 zona 5 barrio santa elena,79540830,edgar leonel ramirez gonzalez,elgi walter boteo boteo garcia,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,baja verapaz
15-01-0115-46,15-001,baja verapaz,salama,colegio particular mixto ciencia y desarrollo,"ruta 4, 12-68 zona 5 barrio santa elena",79540830,edgar leonel ramirez gonzalez,elgi walter boteo garcia,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,baja verapaz
15-01-0116-46,15-001,baja verapaz,salama,instituto nacional de educacion diversificada,aldea chilasco,30308037,edgar leonel ramirez gonzalez,lester mateo quej garcia,diversificado,oficial,rural,abierta,monolingue,vespertina,diario(regular),baja verapaz
15-01-0135-46,15-030,baja verapaz,salama,centro educativo verapaz del sur,1a. calle 1-105 zona 3,79400550,nelson joel hernandez hernandez,maria patricia arriola fernandez,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),baja verapaz
15-01-0143-46,15-030,baja verapaz,salama,instituto tecnico experimental de formacion industrial por cooperativa,"sector las tejeras, barrio el calvario",58122084,nelson joel hernandez hernandez,nydia rossibell chavarria herrera,diversificado,cooperativa,urbana,abierta,monolingue,vespertina,diario(regular),baja verapaz
15-01-0153-46,15-026,baja verapaz,salama,colegio particular mixto tezulutlan,"diagonal 4, 1-24 zona 2",79400182,eliecer ariel ismalej morales,elia nivea lopez garcia de sagastume,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,baja verapaz
15-01-0154-46,15-001,baja verapaz,salama,colegio particular mixto ciencia y desarrollo,ruta 4 12-68 zona 5 barrio santa elena,79540830,edgar leonel ramirez gonzalez,victor gerardo rodas cardona,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),baja verapaz
15-01-0156-46,15-001,baja verapaz,salama,liceo san rafael,aldea chilasco,50022615,edgar leonel ramirez gonzalez,luis alberto garcia quej,diversificado,privado,rural,cerrada temporalmente,monolingue,vespertina,diario(regular),baja verapaz
15-01-0157-46,15-026,baja verapaz,salama,liceo san rafael,aldea chilasco,50022615,eliecer ariel ismalej morales,luis alberto garcia quej,diversificado,privado,rural,cerrada temporalmente,monolingue,doble,fin de semana,baja verapaz
15-01-0160-46,15-026,baja verapaz,salama,liceo san rafael,aldea chilasco,50022615,eliecer ariel ismalej morales,luis alberto garcia quej,diversificado,privado,rural,cerrada temporalmente,monolingue,doble,fin de semana,baja verapaz
15-01-0162-46,15-030,baja verapaz,salama,instituto nacional de educacion diversificada,aldea el tempisque,58578688,nelson joel hernandez hernandez,kendy melanyha lissette silvestre bol de espinoza,diversificado,oficial,rural,abierta,monolingue,matutina,diario(regular),baja verapaz
15-01-0172-46,15-024,baja verapaz,salama,centro de educacion extraescolar -ceex-,"2a. calle, zona 1",54887718,vivian veronica prera noguera,edy leonel vasque lopez,diversificado,privado,urbana,abierta,monolingue,doble,semipresencial,baja verapaz
15-01-0174-46,15-024,baja verapaz,salama,programa nacional de educacion alternativa -pronea-,11 avenida 1-99 zona 6,42159922,vivian veronica prera noguera,vivian veronica prera noguera,diversificado,oficial,urbana,abierta,monolingue,doble,a distancia,baja verapaz
