CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
04-01-0044-46,04-028,chimaltenango,chimaltenango,"escuela normal rural no. 1 ""pedro molina""",finca la alameda,42182840,marilena hernandez cabrera,-,diversificado,oficial,rural,abierta,monolingue,doble,diario(regular),chimaltenango
04-01-0051-46,04-001,chimaltenango,chimaltenango,"colegio mixto ""santa ana""",2a. calle 5-52 zona 4,78391533,abimael acuta abaj,mauro figueroa,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),chimaltenango
04-01-0053-46,04-027,chimaltenango,chimaltenango,"colegio ""jose simeon canas y villacorta""",4a. avenida 2-95 zona 3,78393574,surama lisseth ramirez lopez de morales,irma araceli mendoza alcu viuda de say,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),chimaltenango
04-01-0055-46,04-020,chimaltenango,chimaltenango,instituto evangelico america latina,6a. avenida 3-48 zona 5,77282600,lesly yolanda perez chamale,axel eduardo estrada chavez,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),chimaltenango
04-01-0057-46,04-001,chimaltenango,chimaltenango,colegio evangelico mixto america,1a calle 7-160 zona 4,78391123,abimael acuta abaj,javier sanchez,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),chimaltenango
04-01-0058-46,04-001,chimaltenango,chimaltenango,tecnologico preuniversitario,3 calle 7-54 zona 3,78394519,abimael acuta abaj,edna yesenia gonzalez roca,diversificado,privado,urbana,abierta,monolingue,doble,diario(regular),chimaltenango
04-01-0059-46,04-028,chimaltenango,chimaltenango,instituto tecnico industrial,"9a. calle de los claveles 3-76 zona 1, quintas los aposentos",78396913,marilena hernandez cabrera,asuncion bolivia matzer cuxil de cana,diversificado,privado,urbana,abierta,monolingue,doble,diario(regular),chimaltenango
04-01-0061-46,04-020,chimaltenango,chimaltenango,instituto tecnologico chimalteco,8a. calle y 6a. avenida 5-20 zona 1 quintas los aposentos,78391288,lesly yolanda perez chamale,domingo jiatz solan,diversificado,privado,urbana,cerrada temporalmente,monolingue,doble,diario(regular),chimaltenango
04-01-0062-46,04-001,chimaltenango,chimaltenango,escuela nacional de ciencias comerciales 'leonidas mencos avila',1a. calle 9-30 zona 3,59613052,abimael acuta abaj,marco antonio monterroso,diversificado,oficial,urbana,abierta,monolingue,vespertina,diario(regular),chimaltenango
04-01-0063-46,04-001,chimaltenango,chimaltenango,"escuela de ciencias comerciales por cooperativa ""prof. miguel angel francisco juarez perez""",1a calle 9-30 zona 3,78396762,abimael acuta abaj,miguel angel francisco juarez perez,diversificado,cooperativa,urbana,abierta,monolingue,intermedia,diario(regular),chimaltenango
04-01-0069-46,04-027,chimaltenango,chimaltenango,"colegio ""jose simeon canas y villacorta""",4a. avenida 2-95 zona 3,78393574,surama lisseth ramirez lopez de morales,irma araceli mendoza alcu viuda de say,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),chimaltenango
04-01-0070-46,04-027,chimaltenango,chimaltenango,"colegio ""jose simeon canas y villacorta""",4a. avenida 2-95 zona 3,78933574,surama lisseth ramirez lopez de morales,irma araceli mendoza alcu viuda de say,diversificado,privado,urbana,abierta,monolingue,doble,diario(regular),chimaltenango
04-01-0073-46,04-003,chimaltenango,chimaltenango,"liceo cristiano ""natanael""","6a. avenida ""a"" 2a-37, zona 2 colonia santa teresita",57998064,edwin ricardo sacrapal can,flavio augusto choc choy,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),chimaltenango
04-01-0093-46,04-028,chimaltenango,chimaltenango,escuela normal de educacion fisica,"interior de la escuela normal rural ""pedro molina"", la alameda",78404977,marilena hernandez cabrera,desconocido,diversificado,oficial,rural,abierta,monolingue,doble,diario(regular),chimaltenango
04-01-0095-46,04-028,chimaltenango,chimaltenango,instituto nacional de educacion diversificada dr. pedro molina,finca alameda,79370426,marilena hernandez cabrera,--,diversificado,oficial,urbana,abierta,monolingue,matutina,diario(regular),chimaltenango
