CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
20-01-0024-46,20-001,chiquimula,chiquimula,escuela de ciencias comerciales nocturna,10a. avenida 3-71 zona 1,79422150,cesar adalberto noguera jacome,hector alidio ceron brenes,diversificado,oficial,urbana,abierta,monolingue,nocturna,diario(regular),chiquimula
20-01-0029-46,20-001,chiquimula,chiquimula,instituto diversificado ads. al ineb 'dr. david guerra guzman',2a calle entre 11 y 12 avenidas zona 1,79420395,cesar adalberto noguera jacome,romeo rivera chacon,diversificado,oficial,urbana,abierta,monolingue,vespertina,diario(regular),chiquimula
20-01-0030-46,20-001,chiquimula,chiquimula,escuela nacional de maestros de educacion musical pem oscar augusto mateo morales,2a calle y 12 avenida zona 1,41942927,cesar adalberto noguera jacome,jose vicente reyes solis,diversificado,oficial,urbana,abierta,monolingue,nocturna,diario(regular),chiquimula
20-01-0031-46,20-024,chiquimula,chiquimula,escuela secundaria privada mixta de oriente -esdeo-,2a calle 4-40 zona 1,79420290,silvia marilena buezo martinez,erwin leonel colidres monroy,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),chiquimula
20-01-0032-46,20-024,chiquimula,chiquimula,"colegio evangelico mixto ""amigos""",10ma avenida 5-38 zona 1,79420116,silvia marilena buezo martinez,roxana lisbeth urrutia pinto de linares,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),chiquimula
20-01-0033-46,20-027,chiquimula,chiquimula,instituto tecnologico privado de oriente,4ta. avenida 4-20 zona 1,79425959,silvia marilena buezo martinez,salomon eliasib alvarez cordon,diversificado,privado,urbana,abierta,monolingue,doble,diario(regular),chiquimula
20-01-0034-46,20-001,chiquimula,chiquimula,instituto normal para senoritas de oriente,4a. calle 6-00 zona 1,59799216,cesar adalberto noguera jacome,desconocido,diversificado,oficial,urbana,abierta,monolingue,matutina,diario(regular),chiquimula
20-01-0036-46,20-001,chiquimula,chiquimula,instituto normal para varones de oriente,6a ave. 4-10 zona 1,79420425,cesar adalberto noguera jacome,balvino chacon perez,diversificado,oficial,urbana,abierta,monolingue,matutina,diario(regular),chiquimula
20-01-0038-46,20-027,chiquimula,chiquimula,"""liceo la salle""",6a calle 3-61 zona 1,79420328,silvia marilena buezo martinez,mariangela yossett lemus catalan,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),chiquimula
20-01-0040-46,20-024,chiquimula,chiquimula,colegio privado mixto 'sagrada familia',6a ave. 5-68 zona 1,79420232,silvia marilena buezo martinez,dania isabel quiros salinas,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),chiquimula
