CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
00-01-0158-46,01-312,ciudad capital,zona 1,colegio tecnico progresista cetecpro,2a. avenida 3-59,22512759,amado salomon flores perez,irma amparo toledo hernandez,diversificado,privado,urbana,abierta,monolingue,doble,diario(regular),guatemala norte
00-01-0173-46,01-312,ciudad capital,zona 1,instituto normal para senoritas centro america,1a calle 2-64,22323424,amado salomon flores perez,ingrid mariela espina orellana de escobar,diversificado,oficial,urbana,abierta,monolingue,matutina,diario(regular),guatemala norte
00-01-0174-46,01-307,ciudad capital,zona 1,escuela nacional central de formacion secretarial,12 avenida 9-27,22322985,norma aracely palomo franco de diaz,desconocido,diversificado,oficial,urbana,abierta,monolingue,matutina,diario(regular),guatemala norte
00-01-0175-46,01-317,ciudad capital,zona 1,escuela normal para maestros de educacion musical jesus maria alvarado,2a. calle 4-04,22516651,mariano domingo estrada teletor,irma janeth toj tobias,diversificado,oficial,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),guatemala norte
00-01-0176-46,01-312,ciudad capital,zona 1,instituto nacional de bachillerato en computacion,3a calle 15-45,22202223,amado salomon flores perez,fredy humberto gonzalez santisteban,diversificado,oficial,urbana,abierta,monolingue,vespertina,diario(regular),guatemala norte
00-01-0178-46,01-648,ciudad capital,zona 1,escuela nacional de ciencias comerciales,10a. avenida 9-42,22320914,eswin noe rosales lopez,eswin noe rosales lopez,diversificado,oficial,urbana,abierta,monolingue,nocturna,diario(regular),guatemala norte
00-01-0179-46,01-403,ciudad capital,zona 1,escuela normal para maestros de educacion musical jesus maria alvarado,"10a. avenida 2-24,",58068368,carlos humberto gonzalez de leon,julio cesar santos campos,diversificado,oficial,urbana,cerrada temporalmente,monolingue,intermedia,diario(regular),guatemala norte
00-01-0180-46,01-403,ciudad capital,zona 1,escuela nacional de administracion publica lic. manuel gregorio lopez santiago,9a calle 2-36,42201837,carlos humberto gonzalez de leon,julio ernesto gonzalez hernandez,diversificado,oficial,urbana,abierta,monolingue,nocturna,diario(regular),guatemala norte
00-01-0181-46,01-315,ciudad capital,zona 1,instituto de educacion diversificada centro de ensenanza de ingles sistematizada ceis,3a calle 7-64,22329406,aura marina garrido morales,desconocido,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),guatemala norte
00-01-0183-46,01-312,ciudad capital,zona 1,instituto normal 'casa central',1a ave. 13-63,22384684,amado salomon flores perez,desconocido,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),guatemala norte
00-01-0186-46,01-315,ciudad capital,zona 1,liceo tecnologico guatemala de la asuncion,3a. calle 7-64,22329406,aura marina garrido morales,elubia anayte siguenza monterroso,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),guatemala norte
00-01-0189-46,desconocido,ciudad capital,zona 1,instituto 'federico crowe',4a. avenida 9-66,2517748,desconocido,desconocido,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),guatemala norte
00-01-0191-46,01-310,ciudad capital,zona 1,instituto mixto coactemalan,11 calle 10-43,22325522,alma salguero de salazar,nancy aleida bances arevalo de prado,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),guatemala norte
00-01-0192-46,01-301,ciudad capital,zona 1,instituto profesional de tecnicas comerciales especializadas iptce,7a ave. 3-48,22320733,erick estuardo sanchez archila,marta josefina lara paniagua,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),guatemala norte
00-01-0194-46,01-308,ciudad capital,zona 1,centro de estudios en ciencias de la comunicacion (cesco),4ta. calle 7-53,22320432,leonel amilcar rios fuentes,desconocido,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),guatemala norte
00-01-0195-46,01-305,ciudad capital,zona 1,instituto privado mixto de educacion diversificada la ensenanza,5a calle 9-28,53904905,isis irazema canel palma,----------,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),guatemala norte
00-01-0197-46,01-403,ciudad capital,zona 1,liceo tecnologico guatemala de la asuncion,3a. calle 7-64,54452951,carlos humberto gonzalez de leon,elubia anayte siguenza monterroso,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,guatemala norte
00-01-0199-46,01-402,ciudad capital,zona 1,instituto privado mixto de educacion diversificada centro de estudios mercadologicos y publicitarios,8a ave. 3-50,22329819,carlos humberto gonzalez de leon,desconocido,diversificado,privado,urbana,cerrada temporalmente,monolingue,nocturna,diario(regular),guatemala norte
00-01-0200-46,01-403,ciudad capital,zona 1,instituto de educacion diversificada colegio la ensenanza,5a calle 9-28,22511752,carlos humberto gonzalez de leon,desconocido,diversificado,privado,urbana,cerrada temporalmente,monolingue,intermedia,diario(regular),guatemala norte
00-01-0201-46,01-403,ciudad capital,zona 1,centro educacional guatemalteco,7a. calle 1-19,22533558,carlos humberto gonzalez de leon,desconocido,diversificado,privado,urbana,cerrada temporalmente,monolingue,intermedia,diario(regular),guatemala norte
00-01-0202-46,01-312,ciudad capital,zona 1,"instituto mixto "" miguel de cervantes """,12 avenida 8-35 zona 1,24593860,amado salomon flores perez,desconocido,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),guatemala norte
00-01-0203-46,01-301,ciudad capital,zona 1,instituto nacional central para varones,9a ave. 9-27,22328285,erick estuardo sanchez archila,carlos alfredo valdez paz,diversificado,oficial,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),guatemala norte
00-01-0204-46,01-312,ciudad capital,zona 1,instituto nacional de bachillerato adsc. al inca,1a calle 2-64,22323114,amado salomon flores perez,ingrid mariela espina orellana de escobar,diversificado,oficial,urbana,abierta,monolingue,matutina,diario(regular),guatemala norte
00-01-0205-46,01-310,ciudad capital,zona 1,"instituto normal central para senoritas ""belen""",11 ave. 12-20,22329609,alma salguero de salazar,elsa coralia leon barrios,diversificado,oficial,urbana,abierta,monolingue,matutina,diario(regular),guatemala norte
00-01-0206-46,01-307,ciudad capital,zona 1,instituto normal mixto rafael aqueche,"9a calle 2-36,",22326422,norma aracely palomo franco de diaz,desconocido,diversificado,oficial,urbana,abierta,monolingue,matutina,diario(regular),guatemala norte
00-01-0207-46,01-307,ciudad capital,zona 1,instituto normal mixto rafael aqueche,9a calle 2-36,22533274,norma aracely palomo franco de diaz,desconocido,diversificado,oficial,urbana,abierta,monolingue,vespertina,diario(regular),guatemala norte
00-01-0208-46,01-648,ciudad capital,zona 1,instituto normal mixto nocturno,9a ave. 9-27,55696890,eswin noe rosales lopez,santos palma contreras,diversificado,oficial,urbana,abierta,monolingue,nocturna,diario(regular),guatemala norte
00-01-0209-46,01-304,ciudad capital,zona 1,colegio parroquial del calvario mateo perrone,6a ave. 18-23,22322912,amado salomon flores perez,desconocido,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),guatemala norte
