CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
02-01-0027-46,02-014,el progreso,guastatoya,instituto tecnico industrial mixto guastatoya,barrio el calvario,79450881,sonia ivania coroy castaneda,desconocido,diversificado,oficial,urbana,abierta,monolingue,doble,diario(regular),el progreso
02-01-0028-46,02-014,el progreso,guastatoya,colegio de ciencias comerciales el progreso,barrio el porvenir,79451265,sonia ivania coroy castaneda,daniel lopez solis,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),el progreso
02-01-0031-46,02-014,el progreso,guastatoya,instituto nacional de educacion diversificada,barrio el porvenir,54422753,sonia ivania coroy castaneda,iliana aracely lazaro hernandez,diversificado,oficial,urbana,abierta,monolingue,vespertina,diario(regular),el progreso
02-01-0038-46,02-014,el progreso,guastatoya,instituto de educacion media por madurez,"colonia nueva vida, barrio el porvenir",7945177,sonia ivania coroy castaneda,marco aurelio mazariegos,diversificado,privado,urbana,cerrada temporalmente,monolingue,doble,fin de semana,el progreso
02-01-0044-46,02-004,el progreso,guastatoya,instituto oficial de educacion basica y bachillerato por madurez camino del saber,barrio las joyas,56962830,edgar rudy morales godinez,maria elena lemus muralles de arevalo,diversificado,oficial,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),el progreso
02-01-0045-46,02-014,el progreso,guastatoya,instituto de educacion media por madurez,barrio el porvenir,56719955,sonia ivania coroy castaneda,enner damaso hernandez garrido,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,el progreso
02-01-0046-46,02-014,el progreso,guastatoya,colegio de aplicaciones integradas guastatoya,barrio el porvenir,79450840,sonia ivania coroy castaneda,brenda valiente,diversificado,privado,urbana,cerrada temporalmente,monolingue,doble,sabatino,el progreso
02-01-0049-46,02-021,el progreso,guastatoya,centro municipal de educacion extraescolar -ceex-,aldea santa rita,41398634,marta elida carias hernandez de garcia,marvin ramos orellana,diversificado,municipal,rural,abierta,monolingue,doble,fin de semana,el progreso
02-01-0054-46,02-014,el progreso,guastatoya,colegio evangelico torre fuerte,"colonia hichos, barrio el porvenir",79451993,sonia ivania coroy castaneda,lilian izaguirre,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),el progreso
02-01-0061-46,02-021,el progreso,guastatoya,programa nacional de educacion alternativa -pronea-,barrio las joyas cementerio viejo,79637575,marta elida carias hernandez de garcia,marta elida carias,diversificado,oficial,urbana,abierta,monolingue,doble,a distancia,el progreso
02-01-0062-46,02-021,el progreso,guastatoya,centro de educacion extraescolar -ceex- departamental,"barrio las joyas, cementerio viejo",37962236,marta elida carias hernandez de garcia,hellen celeste marroquin corado,diversificado,oficial,urbana,abierta,monolingue,doble,diario(regular),el progreso
02-01-0066-46,02-014,el progreso,guastatoya,colegio mixto integral el progreso,"colonia hichos, barrio el porvenir",47406758,sonia ivania coroy castaneda,marisol pazos,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),el progreso
02-01-0068-46,02-014,el progreso,guastatoya,colegio mixto integral el progreso,colonia hichos barrio el porvenir guastatoya,47406758,sonia ivania coroy castaneda,delfina marisol pazos ramos,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,el progreso
02-01-0069-46,02-014,el progreso,guastatoya,colegio mixto integral el progreso,coloni a hichos,47406758,sonia ivania coroy castaneda,marisol pazos,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,el progreso
02-01-0071-46,02-014,el progreso,guastatoya,instituto de educacion media por madurez,colonia nueva vida,42353730,sonia ivania coroy castaneda,nora rebeca ibanez moran,diversificado,privado,urbana,abierta,monolingue,sin jornada,semipresencial (fin de semana),el progreso
