CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
05-01-0110-46,05-033,escuintla,escuintla,escuela nacional de ciencias comerciales ads. al ineb simon bergano y villegas,1a ave. sur 10-30 zona 1,78880048,remy arturo sinay gudiel,jose luis solorzano de leon,diversificado,oficial,urbana,abierta,monolingue,matutina,diario(regular),escuintla
05-01-0116-46,05-033,escuintla,escuintla,colegio 'pedagogico escuintleco ciencia y arte',5a ave. 10-87 zona 1,78892455,remy arturo sinay gudiel,desconocido,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),escuintla
05-01-0117-46,05-033,escuintla,escuintla,liceo mixto nocturno izcuintlan,5a ave. 6-61 zona 1,desconocido,remy arturo sinay gudiel,desconocido,diversificado,privado,urbana,cerrada temporalmente,monolingue,nocturna,diario(regular),escuintla
05-01-0119-46,05-033,escuintla,escuintla,centro escolar nuestra senora de concepcion,km. 59 carretera a santa lucia cotzumalguapa,78881194,remy arturo sinay gudiel,santos pastor tzita,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),escuintla
05-01-0121-46,05-033,escuintla,escuintla,instituto tecnico experimental del sur,1a. calle 2-38 zona 3 escuintla,31651314,remy arturo sinay gudiel,juan romeo suarez chacon,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),escuintla
05-01-0123-46,05-033,escuintla,escuintla,instituto privado mixto de educacion diversificada colegio 'minerva',8a calle 2-54 zona 1,desconocido,remy arturo sinay gudiel,desconocido,diversificado,privado,urbana,cerrada temporalmente,monolingue,nocturna,diario(regular),escuintla
05-01-0126-46,05-033,escuintla,escuintla,colegio particular mixto escuintleco bilingue,1a avenida 6-60 zona 4,78890988,remy arturo sinay gudiel,olga esther leal destouet de gonzalez,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),escuintla
05-01-0127-46,05-033,escuintla,escuintla,liceo evangelico tecnico escuintleco,1a. avenida 6-08 zona 4,78202058,remy arturo sinay gudiel,silvia honestina hurtarte de cuevas,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),escuintla
05-01-0129-46,05-033,escuintla,escuintla,liceo juvenil centroamericano,7a calle 3-02 zona 1,78880365,remy arturo sinay gudiel,diana paola pereira rodriguez,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),escuintla
05-01-0131-46,05-033,escuintla,escuintla,centro educativo 'miguel angel asturias',5a ave 6-61 zona 1,desconocido,remy arturo sinay gudiel,desconocido,diversificado,privado,urbana,abierta,monolingue,nocturna,diario(regular),escuintla
05-01-0144-46,05-033,escuintla,escuintla,centro educacional guatemalteco del sur,"3a. av. 5-52 zona 1 escuintla,",78894544,remy arturo sinay gudiel,eddy gabriel ramirez chacon,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,escuintla
05-01-0145-46,05-033,escuintla,escuintla,instituto nacional de perito en mercadotecnia y publicidad,4a. ave. sur 15-20 zona 4,78893272,remy arturo sinay gudiel,mariela floribel mendez maldonado,diversificado,oficial,urbana,abierta,monolingue,vespertina,diario(regular),escuintla
