CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
01-01-0018-46,01-307,guatemala,guatemala,liceo romano americano,6a. calle 2-12 zona 1,desconocido,norma aracely palomo franco de diaz,victor manuel portillo leon,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),guatemala norte
01-01-0022-46,01-627,guatemala,guatemala,liceo romano americano,6a. calle 2-12 zona 1,22533522,isaura amparo recinos carrillo,victor manuel portillo leon,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,guatemala norte
01-01-0023-46,01-627,guatemala,guatemala,liceo romano americano,6a. calle 2-12 zona 1,22533522,isaura amparo recinos carrillo,victor manuel portillo leon,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,guatemala norte
01-01-8208-46,desconocido,guatemala,guatemala,instituto americano en ciencias de computacion (por madurez),6av. 18-23 zona 1,22322912,desconocido,desconocido,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,sabatino,guatemala norte
01-02-0010-46,01-502,guatemala,santa catarina pinula,"colegio ""country day school""",kilometro 18.5 carretera el salvador zona 8 aldea el canchon,66859300,julia enecon roca moran,mavelin dinora garcia barrera de moreno,diversificado,privado,rural,cerrada temporalmente,monolingue,matutina,diario(regular),guatemala oriente
01-02-0012-46,01-502,guatemala,santa catarina pinula,liceo integral de ensenanza comercial,"sector los tres reyes, lote 5""e"" zona 7 aldea el pajon",58543592,julia enecon roca moran,jose adolfo espinoza morataya,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),guatemala oriente
01-02-0013-46,01-405,guatemala,santa catarina pinula,liceo integral de ensenanza comercial,"sector los tres reyes, lote 5""e"" zona 7 aldea el pajon",66373741,blanca sarai gutierrez pineda,jose adolfo espinoza morataya,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,guatemala oriente
01-02-0022-46,01-510,guatemala,santa catarina pinula,instituto nacional de educacion diversificada,6a. avenida 1-10 zona 1,23660520,zoila esperanza camey atz,edgar efrain rafael martinez,diversificado,oficial,urbana,abierta,monolingue,vespertina,diario(regular),guatemala oriente
01-02-0034-46,01-502,guatemala,santa catarina pinula,colegio bilingue integridad (integrity),"aldea don justo kilometro 16.5 carretera a san jose pinula, caserio la laguneta,",66371400,julia enecon roca moran,maria veronica auyon de galicia,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),guatemala oriente
01-02-0036-46,01-502,guatemala,santa catarina pinula,liceo integral de ensenanza comercial -liec-,"sector los tres reyes, lote 5""e"" zona 7 aldea el pajon",58543592,julia enecon roca moran,jose adolfo espinoza morataya,diversificado,privado,rural,abierta,monolingue,matutina,diario(regular),guatemala oriente
01-02-0038-46,01-644,guatemala,santa catarina pinula,instituto nacional de educacion diversificada,"km.14.5 carretera a el salvador,aldea puerta parada.",66339586,ligia del rosario ricci velasquez,thelma yolanda madrid cachin de perez,diversificado,oficial,rural,abierta,monolingue,vespertina,diario(regular),guatemala oriente
01-02-0039-46,01-510,guatemala,santa catarina pinula,instituto nacional de educacion diversificada,aldea cuchilla del carmen,41664195,zoila esperanza camey atz,sandra elizabeth gomez morales de monterroso,diversificado,oficial,rural,abierta,monolingue,matutina,diario(regular),guatemala oriente
01-02-0043-46,01-502,guatemala,santa catarina pinula,colegio valle verde ces,"kilometro 17.5 carretera a el salvador, finca la esperanza, lote 1 zona 8",57626767,julia enecon roca moran,alina maria schneider monsanto de casado,diversificado,privado,rural,abierta,monolingue,matutina,diario(regular),guatemala oriente
01-02-0048-46,01-644,guatemala,santa catarina pinula,colegio tecnologico sinai,"lote 88 ""a"" zona 6 aldea piedra parada cristo rey",66455922,ligia del rosario ricci velasquez,ronal alexander barrios paz,diversificado,privado,rural,abierta,monolingue,vespertina,diario(regular),guatemala oriente
01-02-0049-46,01-502,guatemala,santa catarina pinula,colegio king david,"kilometro 18.5 carretera a el salvador, aldea el canchon la labor de monzon, l. 3, z. 8.",66611170,julia enecon roca moran,lorenzo garcia gaitan,diversificado,privado,rural,abierta,monolingue,matutina,diario(regular),guatemala oriente
01-02-0052-46,01-510,guatemala,santa catarina pinula,colegio mixto tecnico en computacion vista azul,"1a. calle "" c "" 7-70, aldea cuchilla del carmen guatemala",24438611,zoila esperanza camey atz,pem mirna patricia castillo samayoa de velasquez,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),guatemala oriente
01-02-0065-46,01-510,guatemala,santa catarina pinula,"instituto de educacion diversificada por cooperativa ""el pueblito""",1a. avenida final 8-76 zona 3 aldea el pueblito,23677819,zoila esperanza camey atz,juan rafael icute,diversificado,cooperativa,rural,abierta,monolingue,matutina,diario(regular),guatemala oriente
01-02-0068-46,01-502,guatemala,santa catarina pinula,colegio the orchard care,"km. 18.7 carretera a el salvador, hacienda mirage, casa no. 1 zona 8",66342154,julia enecon roca moran,silvia eugenia castro castillo de arriaza,diversificado,privado,rural,abierta,monolingue,matutina,diario(regular),guatemala oriente
