CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
13-01-0065-46,13-004,huehuetenango,huehuetenango,instituto normal mixto alejandro cordova,6a ave. a 10-59 zona 1,77641157,clara armida morales castillo,desconocido,diversificado,oficial,urbana,abierta,monolingue,vespertina,diario(regular),huehuetenango
13-01-0066-46,13-050,huehuetenango,huehuetenango,colegio mixto asturias,2a calle 7-32 zona 1,77642242,reynaldo recinos castillo,walter eduardo martinez gomez,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),huehuetenango
13-01-0067-46,13-004,huehuetenango,huehuetenango,colegio mixto asturias,2a calle 7-32 interio zona 1,77642242,clara armida morales castillo,desconocido,diversificado,privado,urbana,cerrada temporalmente,monolingue,nocturna,diario(regular),huehuetenango
13-01-0068-46,13-050,huehuetenango,huehuetenango,colegio de la salle,10a ave. 10-00 zona 1,77641186,reynaldo recinos castillo,francisco javier alvardo villatoro,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),huehuetenango
13-01-0069-46,13-050,huehuetenango,huehuetenango,colegio evangelico mixto la aurora,5a. calle 5-47 zona 1,77641328,reynaldo recinos castillo,angel eleazar bamaca chacon,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),huehuetenango
13-01-0070-46,13-050,huehuetenango,huehuetenango,colegio 'de la salle',10 ave 10-00 zona 1,77641809,reynaldo recinos castillo,desconocido,diversificado,privado,urbana,cerrada temporalmente,monolingue,nocturna,diario(regular),huehuetenango
13-01-0071-46,13-004,huehuetenango,huehuetenango,instituto privado mixto de educacion diversificada de ciencias comerciales,4a ave. 1-30 zona 1,77641343,clara armida morales castillo,marlin maribel hernandez castillo,diversificado,privado,urbana,cerrada temporalmente,monolingue,nocturna,diario(regular),huehuetenango
13-01-0072-46,13-004,huehuetenango,huehuetenango,liceo y academia adventista dieguez olaverri,el terrero zona 4,77641463,clara armida morales castillo,desconocido,diversificado,privado,urbana,temporal titulos,monolingue,matutina,diario(regular),huehuetenango
13-01-0073-46,13-004,huehuetenango,huehuetenango,colegio tecnico industrial san jose j.m.,6 avenidaentrada principal al proyecto san jose zona 8,77642747,clara armida morales castillo,oliver boanerges recnos recinos,diversificado,privado,urbana,temporal titulos,monolingue,vespertina,diario(regular),huehuetenango
13-01-0075-46,13-004,huehuetenango,huehuetenango,liceo privado de ciencias comerciales,5ta. av. 7-112 zona 1,77640126,clara armida morales castillo,marlin maribel hernandez castillo de leon,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),huehuetenango
13-01-0079-46,13-050,huehuetenango,huehuetenango,"liceo evangelico ""el alba""",6a avenida 9-17 zona 1,77682352,reynaldo recinos castillo,jose raul martinez xutuc,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),huehuetenango
13-01-0112-46,13-050,huehuetenango,huehuetenango,instituto nacional de educacion diversificada,corral chiquito zona ocho,40124127,reynaldo recinos castillo,hugo ruben gomez gomez,diversificado,oficial,rural,abierta,monolingue,vespertina,diario(regular),huehuetenango
13-01-0143-46,13-004,huehuetenango,huehuetenango,liceo preuniversitario de informatica,"4a. avenida 1-30, zona 1",77648784,clara armida morales castillo,migdalia azucely lopez villatoro,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),huehuetenango
13-01-0145-46,13-004,huehuetenango,huehuetenango,liceo preuniversitario de informatica,4 avenida 1-30 zona 1,77648784,clara armida morales castillo,migdalia azucely lopez villatoro,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,huehuetenango
13-01-0146-46,13-050,huehuetenango,huehuetenango,liceo privado mixto minerva,"5a. calle 3-28 zona 2, barrio minerva",56993612,reynaldo recinos castillo,ulises omar calderon cardona,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,huehuetenango
13-01-0156-46,13-050,huehuetenango,huehuetenango,colegio san francisco javier de huehuetenango,corral chiquito zona 8,77208400,reynaldo recinos castillo,guillermo elizardo ruiz godinez,diversificado,privado,rural,abierta,monolingue,matutina,diario(regular),huehuetenango
13-01-0158-46,13-004,huehuetenango,huehuetenango,colegio preuniversitario cambridge,1ra. calle zona 8,77649920,clara armida morales castillo,otto delmar mauricio alvarado,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),huehuetenango
13-01-0159-46,13-050,huehuetenango,huehuetenango,colegio evangelico mixto chimusinique,aldea chimusinique,77648506,reynaldo recinos castillo,mirsa violeta recinos ordonez,diversificado,privado,rural,cerrada temporalmente,monolingue,nocturna,diario(regular),huehuetenango
13-01-0162-46,13-050,huehuetenango,huehuetenango,colegio evangelico mixto chimusinique,aldea chimusinique,77648506,reynaldo recinos castillo,yasmina margarita recinos ordonez,diversificado,privado,rural,abierta,monolingue,doble,fin de semana,huehuetenango
13-01-0163-46,13-050,huehuetenango,huehuetenango,colegio evangelico mixto chimusinique,aldea chimusinique,77648506,reynaldo recinos castillo,yasmina margarita recinos ordonez,diversificado,privado,rural,abierta,monolingue,doble,fin de semana,huehuetenango
13-01-0166-46,13-050,huehuetenango,huehuetenango,colegio tecnologico en computacion,2da. calle 6-49 zona 1,77641301,reynaldo recinos castillo,luis fernando gonzalez mazariegos,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),huehuetenango
13-01-0171-46,13-004,huehuetenango,huehuetenango,liceo preuniversitario de informatica,4a avenida 1-30 zona 1 de la ciudad,77648784,clara armida morales castillo,claudia hercilia recinos ramirez,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,huehuetenango
13-01-0177-46,13-050,huehuetenango,huehuetenango,colegio evangelico mixto la hermosa,sector brasilia zona 7,77646365,reynaldo recinos castillo,mitzy martiela campos gonzalez,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),huehuetenango
13-01-0178-46,13-050,huehuetenango,huehuetenango,colegio iberoamericano de huehuetenango,8va. avenida 1-80 zona 1,77681899,reynaldo recinos castillo,miguel angel pisquiy quixtan,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),huehuetenango
13-01-0179-46,13-050,huehuetenango,huehuetenango,colegio iberoamericano de huehuetenango,8va. avenida 1-80 zona 1,77681899,reynaldo recinos castillo,miguel angel pisquiy quixtan,diversificado,privado,urbana,cerrada temporalmente,monolingue,doble,fin de semana,huehuetenango
13-01-0180-46,13-004,huehuetenango,huehuetenango,colegio privado mixto americano,3a. avenida 1-140 zona 3,77649739,clara armida morales castillo,miguel angel canahui portillo,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,huehuetenango
13-01-0181-46,13-050,huehuetenango,huehuetenango,centro educativo a distancia aula virtual,"2a. calle 6-49, zona 1",77681648,reynaldo recinos castillo,oliver boanerges recinos recinos,diversificado,privado,urbana,abierta,monolingue,doble,diario(regular),huehuetenango
13-01-0182-46,13-004,huehuetenango,huehuetenango,liceo mixto san jose,cabecera departamental,77690501,clara armida morales castillo,francisco leonel hernandez gomez,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),huehuetenango
13-01-0183-46,13-004,huehuetenango,huehuetenango,liceo mixto san jose,cabecera departamental,77690501,clara armida morales castillo,francisco leonel hernandez gomez,diversificado,privado,urbana,cerrada temporalmente,monolingue,doble,diario(regular),huehuetenango
13-01-0193-46,13-004,huehuetenango,huehuetenango,colegio privado mixto hermano pedro,zaculeu central zona 9,57699663,clara armida morales castillo,rudy alexis cajas martinez,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),huehuetenango
13-01-0199-46,13-004,huehuetenango,huehuetenango,colegio privado mixto el divino maestro,aldea xinaxoj,50486759,clara armida morales castillo,argelio de jesus lopez villatoro,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,huehuetenango
13-01-0200-46,13-004,huehuetenango,huehuetenango,colegio privado mixto el divino maestro,aldea xinaxoj,50486759,clara armida morales castillo,argelio de jesus lopez villatoro,diversificado,privado,rural,cerrada temporalmente,monolingue,vespertina,diario(regular),huehuetenango
13-01-0214-46,13-050,huehuetenango,huehuetenango,"colegio preuniversitario ""albert einstein""",11 avenida a 11-45 zona 8,79345932,reynaldo recinos castillo,susana guadalupe arreola donis,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),huehuetenango
13-01-0218-46,13-004,huehuetenango,huehuetenango,colegio tecnologico del valle,"1a. calle 7-77, zona 8",77252793,clara armida morales castillo,miriam asucely castillo vasquez,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,huehuetenango
13-01-0219-46,13-004,huehuetenango,huehuetenango,"liceo privado mixto cristiano ""palabra en accion""","2a. calle final 3-37 colonia alvarado, zona 5",77627179,clara armida morales castillo,noe gustavo flores lima,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),huehuetenango
