CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
18-01-0041-46,18-007,izabal,puerto barrios,escuela nacional mixta de ciencias comerciales domingo juarros,14 calle y 11 avenida,79480444,edvin adolfo morataya menjivar,edwin natalio marmol loaiza,diversificado,oficial,urbana,abierta,monolingue,matutina,diario(regular),izabal
18-01-0042-46,18-008,izabal,puerto barrios,"escuela particular mixta ""justo rufino barrios""",8a avenida entre 17 y 18 calles,79487032,elena elizabeth suchite garnica de quintanilla,mario rene juarez salguero,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),izabal
18-01-0043-46,18-008,izabal,puerto barrios,colegio de ciencias de la computacion,8a. avenida y 10a. calle,79480009,elena elizabeth suchite garnica de quintanilla,--,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),izabal
18-01-0045-46,18-008,izabal,puerto barrios,colegio particular mixto cristo rey,10a calle entre 8a y 9a avenidas,79488225,elena elizabeth suchite garnica de quintanilla,jenny vanessa sandoval gomez,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),izabal
18-01-0073-46,18-008,izabal,puerto barrios,colegio tecnico privado mixto la patria,aldea entre rios,79475263,elena elizabeth suchite garnica de quintanilla,luis alberto carcamo pena,diversificado,privado,rural,abierta,monolingue,doble,fin de semana,izabal
18-01-0115-46,18-008,izabal,puerto barrios,"colegio mixto experimental ""educare""",7a. calle 9a. avenida,desconocido,elena elizabeth suchite garnica de quintanilla,yolanda rivas monroy,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,fin de semana,izabal
18-01-0145-46,18-008,izabal,puerto barrios,"colegio cristiano privado mixto ""cristo viene""",aldea entre rios,40620273,elena elizabeth suchite garnica de quintanilla,gricelda magaly lemus calderon,diversificado,privado,rural,abierta,monolingue,vespertina,diario(regular),izabal
18-01-0153-46,18-008,izabal,puerto barrios,"instituto privado mixto de educacion basica y bachillerato por madurez ""el porvenir""",15 calle entre 7a. y 8a. avenida,58055529,elena elizabeth suchite garnica de quintanilla,carlos arturo palencia rivas,diversificado,privado,urbana,cerrada temporalmente,monolingue,doble,fin de semana,izabal
18-01-0156-46,18-008,izabal,puerto barrios,escuela particular mixta justo rufino barrios,8a. avenida y 17 calle,79487032,elena elizabeth suchite garnica de quintanilla,rosa victoria leonardo welches,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,izabal
18-01-0158-46,18-008,izabal,puerto barrios,"colegio particular mixto ""piedras negras""","colonia piedras negras, santo tomas de castilla",79453597,elena elizabeth suchite garnica de quintanilla,lastenia carias samayoa,diversificado,privado,rural,abierta,monolingue,vespertina,diario(regular),izabal
18-01-0162-46,18-008,izabal,puerto barrios,"colegio particular mixto ""piedras negras""","colonia piedras negras, santo tomas de castilla",79484391,elena elizabeth suchite garnica de quintanilla,lastenia carias samayoa,diversificado,privado,rural,abierta,monolingue,doble,fin de semana,izabal
18-01-0164-46,18-008,izabal,puerto barrios,liceo tecnico guatemalteco ideti,aldea placa no. 1,57843058,elena elizabeth suchite garnica de quintanilla,daisy lorena aguirre ventura de mejia,diversificado,privado,rural,abierta,monolingue,vespertina,diario(regular),izabal
18-01-0167-46,18-008,izabal,puerto barrios,"colegio cristiano ""maranatha""",7a. avenida entre 16a. y 17a. calles,79429163,elena elizabeth suchite garnica de quintanilla,maria osorio de quinto,diversificado,privado,urbana,cerrada temporalmente,monolingue,doble,fin de semana,izabal
18-01-0168-46,18-008,izabal,puerto barrios,"colegio cristiano ""maranatha""",7a. avenida entre 16a. y 17a. calles,79429136,elena elizabeth suchite garnica de quintanilla,maria osorio de quinto,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),izabal
18-01-0173-46,18-007,izabal,puerto barrios,instituto nacional de educacion diversificada,colonia san manuel,79480444,edvin adolfo morataya menjivar,elia erseli franco calderon,diversificado,oficial,rural,abierta,monolingue,matutina,diario(regular),izabal
18-01-0174-46,18-007,izabal,puerto barrios,instituto nacional de educacion diversificada,colonia maria luisa i,79484363,edvin adolfo morataya menjivar,rosa orfilia esquivel avila de guzman,diversificado,oficial,rural,abierta,monolingue,vespertina,diario(regular),izabal
18-01-0178-46,18-007,izabal,puerto barrios,instituto nacional de educacion diversificada,aldea san miguelito,58664500,edvin adolfo morataya menjivar,oscar antonio duarte cordon,diversificado,oficial,rural,abierta,monolingue,vespertina,diario(regular),izabal
18-01-0182-46,18-008,izabal,puerto barrios,"instituto particular mixto ""desarrollo y ciencia""",14 calle entre 11 avenida,79486407,elena elizabeth suchite garnica de quintanilla,edgar romeo martinez caceres,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,izabal
18-01-0185-46,18-008,izabal,puerto barrios,"instituto particular mixto ""desarrollo y ciencia""",14 calle entre 11 avenida,79429434,elena elizabeth suchite garnica de quintanilla,edgar romeo martinez caceres,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,izabal
18-01-0200-46,18-008,izabal,puerto barrios,"instituto preuniversitario de izabal ""preu""",colonia san cristobal entre rios,49026498,elena elizabeth suchite garnica de quintanilla,fredy antonio flores lopez,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,izabal
18-01-0203-46,18-008,izabal,puerto barrios,"instituto preuniversitario de izabal ""preu""",colonia san cristobal entre rios,57864086,elena elizabeth suchite garnica de quintanilla,fredy antonio flores lopez,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),izabal
18-01-0205-46,18-008,izabal,puerto barrios,"instituto preuniversitario de izabal ""preu""",colonia san cristobal entre rios,49026498,elena elizabeth suchite garnica de quintanilla,fredy antonio flores lopez,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),izabal
18-01-0206-46,18-008,izabal,puerto barrios,"centro educativo ""liceo centroamericano""",5a.calle entre 3a. y 4a. avenida,47193485,elena elizabeth suchite garnica de quintanilla,walter danilo monterroso jimenez,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),izabal
18-01-0209-46,18-008,izabal,puerto barrios,"centro educativo ""liceo centroamericano""",5a.calle entre 3a. y 4a. avenida,47193485,elena elizabeth suchite garnica de quintanilla,walter danilo monterroso jimenez,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,izabal
