CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
21-01-0101-46,21-002,jalapa,jalapa,instituto normal centroamericano para senoritas -incas-,"avenida chipilapa 1-65, zona 2",79224268,jorge adelino perez ucelo,iris jannette aguirre contreras,diversificado,oficial,urbana,abierta,monolingue,vespertina,diario(regular),jalapa
21-01-0104-46,21-002,jalapa,jalapa,instituto normal centroamericano para varones,"calle transito rojas, 4-82, zona 2, barrio san francisco",79224131,jorge adelino perez ucelo,lisi karina isabel escobar espinoza de lucero,diversificado,oficial,urbana,abierta,monolingue,matutina,diario(regular),jalapa
21-01-0106-46,21-004,jalapa,jalapa,colegio particular mixto liceo jalapa,calle transito rojas 7-60 zona 1,79220013,victor manuel portillo recinos,efrain de jesus salazar peralta,diversificado,privado,urbana,abierta,monolingue,nocturna,diario(regular),jalapa
21-01-0107-46,21-004,jalapa,jalapa,instituto particular mixto moderno jalapaneco,3a. calle 0-39 zona 2 barrio la esperanza,51228253,victor manuel portillo recinos,german de jesus ramos valle,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),jalapa
21-01-0108-46,21-004,jalapa,jalapa,instituto privado de educacion diversificada el porvenir,"4a. avenida 2-66, zona 2 barrio san francisco",79224958,victor manuel portillo recinos,rosa coralia pineda gallardo,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),jalapa
21-01-0111-46,21-004,jalapa,jalapa,"colegio particular mixto ""liceo nuevo milenio""","1ra. calle a zona 3, residenciales nueva jerusalen",79222186,victor manuel portillo recinos,nilsa magaly cordero gudiel de salazar,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),jalapa
21-01-0206-46,21-005,jalapa,jalapa,instituto nacional de educacion diversificada,"caserio la laguneta, aldea el durazno",31233496,victor manuel portillo recinos,migdalia irene santillana fuentes,diversificado,oficial,rural,abierta,monolingue,vespertina,diario(regular),jalapa
21-01-0233-46,21-004,jalapa,jalapa,colegio particular mixto por madurez oscar de leon palacios,calle transito rojas 8-54 zona 2,56963730,victor manuel portillo recinos,claudia marineli martinez hernandez,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,jalapa
21-01-0256-46,21-004,jalapa,jalapa,"colegio ""sagrado corazon""",3ra. calle 2-47 zona 2 barrio san francisco,79227638,victor manuel portillo recinos,francisco augusto carrillo hernandez,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,jalapa
21-01-0269-46,21-004,jalapa,jalapa,"colegio privado mixto de educacion basica ""educare""","6a. av. 0-67 zona 5, barrio san francisco",77964422,victor manuel portillo recinos,alvaro antonio sandoval orellana,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),jalapa
21-01-0271-46,21-004,jalapa,jalapa,instituto tecnico profesional miguel angel asturias,"1a. calle 6-61 zona 1, barrio la democracia",79222110,victor manuel portillo recinos,juan manuel cisneros martinez,diversificado,privado,urbana,cerrada temporalmente,monolingue,doble,fin de semana,jalapa
21-01-0274-46,21-004,jalapa,jalapa,"colegio particular mixto ""liceo jalapa""","calle transito rojas 7-79, zona 1 barrio la democracia",79220013,victor manuel portillo recinos,lesly priscila carrera ruiz,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),jalapa
21-01-0293-46,21-004,jalapa,jalapa,instituto particular mixto moderno jalapaneco,barrio la democracia,desconocido,victor manuel portillo recinos,desconocido,diversificado,privado,rural,cerrada temporalmente,monolingue,nocturna,diario(regular),jalapa
21-01-0297-46,21-004,jalapa,jalapa,"colegio ""sagrado corazon""","3ra. calle 2-47 zona 2, barrio san francisco",79227638,victor manuel portillo recinos,francisco augusto carrillo hernandez,diversificado,privado,urbana,cerrada temporalmente,monolingue,doble,fin de semana,jalapa
21-01-0299-46,21-004,jalapa,jalapa,"centro de estudios de ingenieria y arquitectura ""rembrandt""","6ta. calle ""e"" 0-49 colonia bonilla zona 1, barrio la esperanza",79228008,victor manuel portillo recinos,jeimy azucena arriaza ortiz,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),jalapa
