CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
22-01-0014-46,22-013,jutiapa,jutiapa,escuela nacional de ciencias comerciales,"complejo educativo, barrio el condor",78441241,rony esmeltzer ramos quinonez,desconocido,diversificado,oficial,urbana,abierta,monolingue,matutina,diario(regular),jutiapa
22-01-0015-46,desconocido,jutiapa,jutiapa,instituto privado mixto de educacion diversificada colegio 'moderno jutiapaneco',3a. avenida 4-66 zona 1,desconocido,desconocido,desconocido,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),jutiapa
22-01-0017-46,22-037,jutiapa,jutiapa,colegio tecnico profesional san cristobal,7a. calle 5-30 zona 1,78441530,remberto recinos sarceno,delmy astrid mendez polanco,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),jutiapa
22-01-0018-46,99-001,jutiapa,jutiapa,instituto tecnico de ciencias administrativas y computacion inteciadcom,7a. av. 8-80 zona 1 barrio latino,78442122,silvia eugenia valdez monterroso de carballo,desconocido,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),jutiapa
22-01-0019-46,22-001,jutiapa,jutiapa,instituto tecnico particular de diversificado -intecpadi-,"5a. calle 5-43, zona 1",78442296,cecilia isabel aldecoa casasola de castro,desconocido,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),jutiapa
22-01-0020-46,22-001,jutiapa,jutiapa,colegio particular mixto de magisterio,1a. avenida 4-64 zona 1,78442157,cecilia isabel aldecoa casasola de castro,israel josue vasquez,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),jutiapa
22-01-0022-46,22-037,jutiapa,jutiapa,instituto privado mixto de educacion diversificada de mercadotecnia y publicidad de oriente,5a. av. 7-35 zona 1,78441530,remberto recinos sarceno,jorge mario aguilar retana,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,jutiapa
22-01-0221-46,22-009,jutiapa,jutiapa,"colegio particular mixto integral ""evolucion""",7a. calle 8a. avenida 7-49 zona 3 barrio el chaparron,78443090,gaudy yadira isabel ixchop ambrocio,mildred esperanza villanueva de florian,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),jutiapa
22-01-0222-46,22-001,jutiapa,jutiapa,"colegio particular mixto integral ""evolucion""",7a. calle 8a. avenida 7-49 zona 3 barrio el chaparron,57313172,cecilia isabel aldecoa casasola de castro,miguel angel martinez de la vega,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,jutiapa
22-01-0254-46,22-001,jutiapa,jutiapa,"liceo ""crezco aprendiendo""","7a. calle entre 6a. y 7a. avenida zona 3, barrio el chaparron",78442263,cecilia isabel aldecoa casasola de castro,cesar geovanni ramos ramirez,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),jutiapa
22-01-0255-46,22-001,jutiapa,jutiapa,colegio particular mixto de magisterio,1ra. avenida 4-64 zona 1,78442157,cecilia isabel aldecoa casasola de castro,jorge omar vasquez leon,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),jutiapa
