CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
17-01-0035-46,17-001,peten,flores,instituto privado de educacion diversificada diego americo cetina pacheco,barrio santa elena,desconocido,sergio luis leiva,desconocido,diversificado,privado,urbana,temporal titulos,monolingue,nocturna,diario(regular),peten
17-01-0039-46,17-,peten,flores,instituto nocturno de ciencias comerciales y academia anexa,barrio santa elena,desconocido,jose francisco olan ponce,desconocido,diversificado,privado,urbana,cerrada temporalmente,monolingue,nocturna,diario(regular),peten
17-01-0064-46,17-001,peten,flores,instituto nacional de educacion diversificada,aldea ixlu,36084404,sergio luis leiva,vicente avelar hernandez,diversificado,oficial,rural,abierta,monolingue,vespertina,diario(regular),peten
17-01-0070-46,17-001,peten,flores,"centro educativo integral ""paulo freire""",zona 2,79264648,sergio luis leiva,efren portillo,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),peten
17-01-0078-46,17-001,peten,flores,centro educativo modelo,colonia modelo de santa elena de la cruz,54506610,sergio luis leiva,cesar francisco soza mendoza,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,peten
17-01-0081-46,17-001,peten,flores,colegio de educacion media san isidro,aldea ixlu,55164373,sergio luis leiva,rutilia salguero castro,diversificado,privado,rural,abierta,monolingue,doble,fin de semana,peten
17-01-0083-46,17-001,peten,flores,"colegio integrado de educacion profresional de peten, ciepp",aldea ixlu,78215568,sergio luis leiva,evelyn migdalia toralla lopez,diversificado,privado,rural,cerrada temporalmente,monolingue,doble,fin de semana,peten
17-01-0085-46,17-001,peten,flores,"liceo petenero en ciencias administrativas, recursos naturales y turismo","calle limite, frente al organismo judicial, a un costado de los derechos humanos",79261560,sergio luis leiva,erwin augusto lopez y lopez,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),peten
17-01-0086-46,17-001,peten,flores,"liceo petenero en ciencias administrativas, recursos naturales y turismo","calle limite, frente a organismo judicial, a un costado de los derechos humanos",79261560,sergio luis leiva,erwin augusto lopez y lopez,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),peten
17-01-0091-46,17-001,peten,flores,colegio cristiano el-hashamayim,"7a. avenida 1-65 zona 2, santa elena de la cruz",79261812,sergio luis leiva,profesora maria aurora cano acosta,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),peten
17-01-0095-46,17-001,peten,flores,instituto de educacion basica y bachillerato por madurez camino a la libertad,"centro de detencion departamental, santa elena de la cruz",79261698,sergio luis leiva,glenda patricia chamale gomez,diversificado,oficial,rural,abierta,monolingue,vespertina,diario(regular),peten
17-01-0099-46,17-001,peten,flores,centro educativo del nazareno,"4a. calle a 5-55 zona 1, santa elena de la cruz",79263311,sergio luis leiva,erwin david lopez ochaeta,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),peten
17-01-0100-46,17-001,peten,flores,instituto tecnologico agroforestal centro maya,santa elena de la cruz,79264718,sergio luis leiva,edgar rolando chayax molina,diversificado,privado,urbana,cerrada temporalmente,monolingue,doble,diario(regular),peten
