CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
09-01-0040-46,09-041,quetzaltenango,quetzaltenango,"colelgio evangelico ""la patria""",19 avenida 1-28 zona 3,desconocido,wilson ranferi siguenza lopez,desconocido,diversificado,privado,urbana,cerrada temporalmente,monolingue,doble,diario(regular),quetzaltenango
09-01-0098-46,09-006,quetzaltenango,quetzaltenango,"colegio privado mixto ""suizo quetzaltenango""",1ra calle 43-50 zona 8,79267367,pedro geronimo sarat chaj,mirna leticia cifuentes godinez de cifuentes,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),quetzaltenango
09-01-0125-46,09-005,quetzaltenango,quetzaltenango,"instituto nacional ""jacobo arbenz guzman""","4a. calle 25-20, zona 3",41514439,juan carlos ronquillo de leon,juan carlos hernandez rios,diversificado,oficial,urbana,abierta,monolingue,nocturna,diario(regular),quetzaltenango
09-01-0126-46,09-005,quetzaltenango,quetzaltenango,"escuela nacional de ciencias comerciales de occidente seccion nocturna ""alberto cardenas rodas""",5a calle 12-60 zona 3,77635504,juan carlos ronquillo de leon,.,diversificado,oficial,urbana,abierta,monolingue,nocturna,diario(regular),quetzaltenango
09-01-0131-46,09-005,quetzaltenango,quetzaltenango,instituto normal para varones de occidente i.n.v.o,7ma. calle 29-25 zona 3,77611583,juan carlos ronquillo de leon,francisco miguel tirado huinac,diversificado,oficial,urbana,abierta,monolingue,vespertina,diario(regular),quetzaltenango
09-01-0132-46,09-005,quetzaltenango,quetzaltenango,instituto normal para senoritas de occidente,14 avenida a 0-36 zona 1,77612303,juan carlos ronquillo de leon,desconocido,diversificado,oficial,urbana,abierta,monolingue,vespertina,diario(regular),quetzaltenango
09-01-0134-46,09-002,quetzaltenango,quetzaltenango,instituto privado mixto de educacion diversificada 'americano',ave. jesus castillo a-74 zona 1,77610735,rosemery guadalupe piedrasanta gramajo de siguenza,liliam pereira,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),quetzaltenango
09-01-0135-46,09-036,quetzaltenango,quetzaltenango,instituto privado mixto de educacion diversificada liceo moderno,7a ave. 6-45 zona 1,77614475,obdulio rolando ruiz alva,desconocido,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),quetzaltenango
09-01-0136-46,09-036,quetzaltenango,quetzaltenango,colegio mixto teresa martin,9a calle 10-09 zona 1,77612237,obdulio rolando ruiz alva,marilin elizabeth garcia locon,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),quetzaltenango
09-01-0137-46,09-004,quetzaltenango,quetzaltenango,colegio evangelico 'bethania',calle c 0-22 zona 1,77630164,dina rubi gonzalez de leon,fernando david rivera espana,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),quetzaltenango
