CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
11-01-0027-46,11-017,retalhuleu,retalhuleu,"centro educativo ""juan pablo ii""","7a. calle 4-47, zona 1",77710490,miguel angel armas rocha,adalberto galicia orellana,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,retalhuleu
11-01-0074-46,11-004,retalhuleu,retalhuleu,colegio particular mixto d antoni,2a calle 3-02 zona 5 colonia maria teresa,77710562,miguel angel armas rocha,ludim celestina mendez pu,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),retalhuleu
11-01-0076-46,11-014,retalhuleu,retalhuleu,instituto oficial diversificado con orientacion en computacion,1a ave. 4-08 zona 2,77712637,julio cesar herrera roldan,carlos humberto sologaistoa monterroso,diversificado,oficial,urbana,abierta,monolingue,vespertina,diario(regular),retalhuleu
11-01-0078-46,11-016,retalhuleu,retalhuleu,instituto privado mixto de educacion diversificada liceo retalteco,3a ave. 6-49 zona 1,77716637,mario rene rivera argueta,desconocido,diversificado,privado,urbana,abierta,monolingue,nocturna,diario(regular),retalhuleu
11-01-0080-46,11-004,retalhuleu,retalhuleu,colegio mixto retalhuleu,6a ave. 3-40 zona 1,77710086,miguel angel armas rocha,julio cesar herrera roldan,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),retalhuleu
11-01-0081-46,11-014,retalhuleu,retalhuleu,instituto normal mixto carlos dubon,3a calle 6-49 zona 4,47138803,julio cesar herrera roldan,sergio ramon lopez solis,diversificado,oficial,urbana,abierta,monolingue,matutina,diario(regular),retalhuleu
11-01-0082-46,11-014,retalhuleu,retalhuleu,instituto nacional mixto nocturno de educacion media,3a calle 6-49 zona 4,53494788,julio cesar herrera roldan,juan de dios rodas hernandez,diversificado,oficial,urbana,abierta,monolingue,nocturna,diario(regular),retalhuleu
11-01-0084-46,11-004,retalhuleu,retalhuleu,"centro educativo ""juan pablo ii""","7a. calle 4-47, zona 1",77710490,miguel angel armas rocha,adalberto galicia orellana,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),retalhuleu
11-01-0101-46,11-014,retalhuleu,retalhuleu,instituto nacional de educacion diversificada,centro urbano parcelamiento caballo blanco,51580674,julio cesar herrera roldan,loyla rodelma perez reyes de lopez,diversificado,oficial,rural,abierta,monolingue,matutina,diario(regular),retalhuleu
11-01-0110-46,11-019,retalhuleu,retalhuleu,instituto tecnico de capacitacion y productividad -intecap-,km. 192 carretera a champerico,76008600,lisbeth surama lopez calvillo,ernesto joaquin lopez sarti,diversificado,privado,urbana,abierta,monolingue,doble,diario(regular),retalhuleu
11-01-0120-46,11-017,retalhuleu,retalhuleu,colegio centro educativo retalteco de formacion integral,8a. avenida. 8-01 zona 1,59842385,miguel angel armas rocha,jorge luis diaz de leon,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,retalhuleu
11-01-0126-46,11-004,retalhuleu,retalhuleu,instituto iberoamericano de estudios avanzados de retalhuleu,5a. avenida 6-49 zona 1,desconocido,miguel angel armas rocha,miguel angel pisquiy quixtan,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),retalhuleu
11-01-0127-46,11-004,retalhuleu,retalhuleu,instituto iberoamericano de estudios avanzados de retalhuleu,5a. avenida 6-49 zona 1,desconocido,miguel angel armas rocha,miguel angel pisquiy quixtan,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),retalhuleu
11-01-0133-46,11-017,retalhuleu,retalhuleu,colegio mixto ideas,"9a. avenida a, 2-05 residenciales ana lucia, zona 4",77713771,miguel angel armas rocha,salvador lima garcia,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,retalhuleu
11-01-0136-46,11-017,retalhuleu,retalhuleu,instituto privado mixto poeta eduardo orellana matta,"lotificacion peru, zona 4",77716393,miguel angel armas rocha,silvia magdalena juarez ixmay,diversificado,privado,urbana,cerrada temporalmente,monolingue,doble,fin de semana,retalhuleu
11-01-0137-46,11-017,retalhuleu,retalhuleu,instituto privado mixto poeta eduardo orellana matta,"lotificacion peru, zona 4",30931824,miguel angel armas rocha,silvia rodriguez cayax,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,retalhuleu
11-01-0140-46,11-017,retalhuleu,retalhuleu,instituto privado basico y bachillerato por madurez desarrollo integrador,"3a. calle 6-49, zona 1",desconocido,miguel angel armas rocha,luis roberto angel aldana,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,retalhuleu
