CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
03-01-0052-46,03-001,sacatepequez,antigua guatemala,escuela nacional de ciencias comerciales seccion nocturna,5a. calle oriente n-17,78328708,jorge otoniel cruz sal,desconocido,diversificado,oficial,urbana,abierta,monolingue,nocturna,diario(regular),sacatepequez
03-01-0053-46,03-002,sacatepequez,antigua guatemala,instituto indigena nuestra senora del socorro,plazuela belen,78320322,zoila esthela jonfe orozco,maria consuelo quintanilla meza,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),sacatepequez
03-01-0055-46,03-002,sacatepequez,antigua guatemala,liceo rosales,calle de los nazarenos no. 16,78325538,zoila esthela jonfe orozco,lydia rosales chavez,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),sacatepequez
03-01-0056-46,03-002,sacatepequez,antigua guatemala,liceo antigueno,3a. calle oriente n-11,78320670,zoila esthela jonfe orozco,josue nathan solorzano berduo,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),sacatepequez
03-01-0057-46,03-002,sacatepequez,antigua guatemala,colegio la salle,4a. avenida norte n-26,78320556,zoila esthela jonfe orozco,martha julia de leon garcia de barrera,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),sacatepequez
03-01-0058-46,03-001,sacatepequez,antigua guatemala,instituto normal p/senoritas olimpia leal,5a. calle oriente n-15,78323391,jorge otoniel cruz sal,desconocido,diversificado,oficial,urbana,abierta,monolingue,matutina,diario(regular),sacatepequez
03-01-0059-46,03-009,sacatepequez,antigua guatemala,instituto normal para varones antonio larrazabal,finca la primavera salida a santa maria de jesus km.2,58437849,aura marina lorenzo sagche,manuel antonio estrada ortiz,diversificado,oficial,urbana,abierta,monolingue,vespertina,diario(regular),sacatepequez
03-01-0075-46,03-002,sacatepequez,antigua guatemala,colegio mundo verde,2a. avenida sur no. 46,78320315,zoila esthela jonfe orozco,manuel estrada ortiz,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),sacatepequez
03-01-0090-46,03-002,sacatepequez,antigua guatemala,colegio mixto pre-universitario galileo galilei,calle ancha no. 86,78320255,zoila esthela jonfe orozco,juan ramon marroquin gomez,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),sacatepequez
03-01-0091-46,03-002,sacatepequez,antigua guatemala,instituto tecnico empresarial,calle chipilapa no. 11,78326854,zoila esthela jonfe orozco,desconocido,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),sacatepequez
03-01-0096-46,03-002,sacatepequez,antigua guatemala,centro educacional valle verde,calle ancha de los herreros no. 59 interior,78321483,zoila esthela jonfe orozco,adolfo valle lima,diversificado,privado,urbana,cerrada temporalmente,monolingue,doble,fin de semana,sacatepequez
03-01-0098-46,03-002,sacatepequez,antigua guatemala,liceo de ensenanza superior internacional lesi,"calle de la pila colorada casa no. 6, san felipe de jesus",78311345,zoila esthela jonfe orozco,juan alberto monroy gaytan,diversificado,privado,urbana,cerrada temporalmente,monolingue,doble,fin de semana,sacatepequez
03-01-0100-46,03-002,sacatepequez,antigua guatemala,liceo de ensenanza superior internacional lesi,calle de la pila colorada casa no. 6,78311345,zoila esthela jonfe orozco,juan alberto monroy gaytan,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),sacatepequez
03-01-0103-46,03-002,sacatepequez,antigua guatemala,colegio colonial bilingue,"lote f-6, manzana g, san pedro el panorama",79346373,zoila esthela jonfe orozco,mercedes de las nieves blanco romeu,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),sacatepequez
03-01-0108-46,03-009,sacatepequez,antigua guatemala,colegio americano superior,calle de los nazarenos no.28,78824810,aura marina lorenzo sagche,carlos rafael nevares gomez,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),sacatepequez
03-01-0119-46,03-002,sacatepequez,antigua guatemala,instituto municipal de educacion diversificada,2da.. calle oriente no. 1 aldea san juan del obispo,44535470,zoila esthela jonfe orozco,victor hugo simon marroquin,diversificado,municipal,rural,abierta,monolingue,matutina,diario(regular),sacatepequez
03-01-0120-46,03-002,sacatepequez,antigua guatemala,colegio belen,"calle del hermano pedro, plazuela belen",78320322,zoila esthela jonfe orozco,maria del carmen gomez,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),sacatepequez
03-01-0127-46,03-002,sacatepequez,antigua guatemala,instituto tecnologico empresarial,calle chipilapa no. 11,78326854,zoila esthela jonfe orozco,juan jose castillo reguan,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),sacatepequez
03-01-0128-46,03-002,sacatepequez,antigua guatemala,instituto tecnologico empresarial,calle chipilapa no. 11,78326854,zoila esthela jonfe orozco,juan jose castillo reguan,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),sacatepequez
03-01-0129-46,03-002,sacatepequez,antigua guatemala,instituto tecnologico empresarial,calle chipilapa no. 11,78326854,zoila esthela jonfe orozco,lilia elizabeth morales velasquez,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,sacatepequez
03-01-0133-46,03-002,sacatepequez,antigua guatemala,instituto tecnologico empresarial,calle chipilapa no. 11,78326854,zoila esthela jonfe orozco,juan jose castillo reguan,diversificado,privado,urbana,abierta,monolingue,doble,diario(regular),sacatepequez
03-01-0134-46,03-009,sacatepequez,antigua guatemala,colegio liceo antigueno,3a. calle oriente no.11,78311081,aura marina lorenzo sagche,axel solorzano espinoza,diversificado,privado,urbana,cerrada temporalmente,monolingue,doble,diario(regular),sacatepequez
03-01-0138-46,03-002,sacatepequez,antigua guatemala,colegio central,5ta. calle poniente no. 22,78321738,zoila esthela jonfe orozco,francisco rolando paredes ramirez,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),sacatepequez
03-01-0139-46,03-002,sacatepequez,antigua guatemala,liceo superior internacional juan pablo ii (lesi),calle ancha de los herreros no. 16,78324149,zoila esthela jonfe orozco,juan alberto monroy gaytan,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),sacatepequez
03-01-0140-46,03-002,sacatepequez,antigua guatemala,liceo mixto nuestra senora de fatima,2a. calle oriente no. 22 la antigua guatemala,78328796,zoila esthela jonfe orozco,claudia nineth monzon,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),sacatepequez
03-01-0141-46,03-009,sacatepequez,antigua guatemala,"instituto mixto de educacion diversificada por cooperativa, jornada nocturna",aldea san pedro las huertas,54749861,aura marina lorenzo sagche,ricardo pereira solorzano,diversificado,cooperativa,rural,abierta,monolingue,nocturna,diario(regular),sacatepequez
