CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
12-01-0044-46,desconocido,san marcos,san marcos,instituto privado mixto de educacion diversificada adscrito a centro universitario usac jn,zona 2 canton san ramon,desconocido,desconocido,desconocido,diversificado,privado,urbana,cerrada temporalmente,monolingue,nocturna,diario(regular),san marcos
12-01-0048-46,12-001,san marcos,san marcos,"instituto normal mixto de occidente ""justo rufino barrios""",10a. avenida 8-27 zona 3,77601385,enio relman maldonado solis,nelson de jesus bautista lopez,diversificado,oficial,urbana,abierta,monolingue,vespertina,diario(regular),san marcos
12-01-0049-46,12-001,san marcos,san marcos,instituto adolfo v. hall de occidente,3a. avenida 11-154 zona 1,77601024,enio relman maldonado solis,mynor fernando godinez fuentes,diversificado,oficial,urbana,abierta,monolingue,doble,diario(regular),san marcos
12-01-0050-46,12-063,san marcos,san marcos,"colegio ""san marcos""",6a. avenida 4-92 zona 2,77604147,heliuv edilzar vasquez navarro,carolina patricia martinez trujillo,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),san marcos
12-01-0051-46,12-001,san marcos,san marcos,colegio privado mixto bachillerato por madurez,8a. avenida 4-21 zona 2,77601360,enio relman maldonado solis,xxxxxx,diversificado,privado,urbana,cerrada temporalmente,monolingue,doble,fin de semana,san marcos
12-01-0052-46,desconocido,san marcos,san marcos,instituto privado mixto de educacion diversificada 'bachillerato por madurez' jn,8a. avenida 4-21 zona 2,desconocido,desconocido,desconocido,diversificado,privado,urbana,cerrada temporalmente,monolingue,nocturna,diario(regular),san marcos
12-01-0053-46,12-100,san marcos,san marcos,colegio particular mixto sagrado corazon,10a. avenida 9-71 zona 3,77601164,jorge eberto solorzano sanchez,desconocido,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),san marcos
12-01-0054-46,12-100,san marcos,san marcos,"colegio ""sagrado corazon""",10a. avenida 9-71 zona 3,53854931,jorge eberto solorzano sanchez,desconocido,diversificado,privado,urbana,cerrada temporalmente,monolingue,doble,fin de semana,san marcos
12-01-0078-46,12-063,san marcos,san marcos,"colegio preuniversitario ""galileo""","12 avenida 3-33 zona 4, canton santo domingo",77679743,heliuv edilzar vasquez navarro,brendy lucrecia vasquez velasquez,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),san marcos
12-01-0082-46,12-100,san marcos,san marcos,"instituto privado mixto ""san carlos""",8 av. 4-21 zona 2,77601549,jorge eberto solorzano sanchez,edgar rolando siguenza rodriguez,diversificado,privado,urbana,cerrada temporalmente,monolingue,doble,fin de semana,san marcos
12-01-0085-46,12-063,san marcos,san marcos,instituto nacional de educacion diversificada,aldea las lagunas,31110226,heliuv edilzar vasquez navarro,acsa abigail argueta vicente de villagran,diversificado,oficial,rural,abierta,monolingue,vespertina,diario(regular),san marcos
12-01-0088-46,12-001,san marcos,san marcos,instituto nomral mixto de occidente justo,10a. avenida 8-27 zona 3,77601385,enio relman maldonado solis,desconocido,diversificado,oficial,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),san marcos
12-01-0089-46,12-100,san marcos,san marcos,"instituto privado mixto ""san carlos""",8 av. 4-21 zona 2,77601549,jorge eberto solorzano sanchez,julio rene wug sanchez,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),san marcos
12-01-0096-46,12-100,san marcos,san marcos,"instituto privado mixto ""san carlos""",8 av. 4-21 zona 2,77601549,jorge eberto solorzano sanchez,julio rene wug sanchez,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,san marcos
12-01-0100-46,12-001,san marcos,san marcos,instituto adolfo v. hall de occidente,3av. 11-154 zona 1,77601024,enio relman maldonado solis,mynor fernando godinez fuentes,diversificado,oficial,urbana,abierta,monolingue,matutina,diario(regular),san marcos
12-01-0105-46,12-100,san marcos,san marcos,"instituto privado mixto ""san carlos""",8 av. 4-21 zona 2,77601549,jorge eberto solorzano sanchez,liseth maricela barrios de leon de wug,diversificado,privado,urbana,abierta,monolingue,doble,diario(regular),san marcos
