CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
06-01-0039-46,06-001,santa rosa,cuilapa,"escuela nacional de ciencias comerciales ""profesor jorge hugo barillas mendez",lotificacion bella vista el calvario,42997568,irma yolanda chacon arroyo,carla selene fortuny hernandez,diversificado,oficial,urbana,abierta,monolingue,matutina,diario(regular),santa rosa
06-01-0040-46,06-001,santa rosa,cuilapa,liceo cuilapa,cabecera municipal,58560517,irma yolanda chacon arroyo,nery francisco mauricio lopez,diversificado,privado,urbana,cerrada temporalmente,monolingue,nocturna,diario(regular),santa rosa
06-01-0069-46,06-001,santa rosa,cuilapa,instituto nacional de educacion diversificada,lotificacion bella vista barrio el calvario,54089468,irma yolanda chacon arroyo,desconocido,diversificado,oficial,urbana,abierta,monolingue,vespertina,diario(regular),santa rosa
06-01-0091-46,06-001,santa rosa,cuilapa,"colegio tecnologico moderno ""nuestra senora de la asuncion""","aldea guacamayas, villa laura",41064795,irma yolanda chacon arroyo,julio hilario sanchez carillo,diversificado,privado,rural,abierta,monolingue,vespertina,diario(regular),santa rosa
06-01-0099-46,06-001,santa rosa,cuilapa,escuela normal intercultural,"lotificacion bella vista, barrio el calvario",78865480,irma yolanda chacon arroyo,angela raquel divas quevedo de ramirez,diversificado,oficial,urbana,abierta,monolingue,matutina,diario(regular),santa rosa
06-01-0105-46,06-039,santa rosa,cuilapa,"centro de educacion extraescolar -ceex- ""cooperativa el recuerdo""",centro cultural de las americas 5 calle 1-09 zona 1,78866063,jorge baldomero gonzalez barrera,aleyda margarita montenegro hernandez de cruz,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,santa rosa
06-01-0107-46,06-001,santa rosa,cuilapa,"colegio particular mixto ""divino nino""",colonia bella vista,59495525,irma yolanda chacon arroyo,cesar armando coronado franco,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,santa rosa
06-01-0108-46,06-001,santa rosa,cuilapa,colegio particular mixto bilingue santa familia,"kilometro 57.5 carretera al salvador, aldea san juan de arana, cuilapa, santa rosa aldea san juan de arana, cuilapa, santa rosa",77254514,irma yolanda chacon arroyo,david guillermo barrientos valdez,diversificado,privado,rural,abierta,monolingue,vespertina,diario(regular),santa rosa
06-01-0109-46,06-001,santa rosa,cuilapa,colegio particular mixto bilingue santa familia,"kilometro 57.5 carretera al salvador, aldea san juan de arana, cuilapa, santa rosa aldea san juan de arana, cuilapa, santa rosa",77254514,irma yolanda chacon arroyo,david guillermo barrientos valdez,diversificado,privado,rural,abierta,monolingue,vespertina,diario(regular),santa rosa
06-01-0110-46,06-039,santa rosa,cuilapa,"programa nacional de educacion alternativa, pronea","4a. calle 2-55 zona 4, barrio el llanito, cuilapa, santa rosa",78865957,jorge baldomero gonzalez barrera,jorge baldomero gonzalez barrera,diversificado,oficial,rural,abierta,monolingue,doble,a distancia,santa rosa
06-01-0116-46,06-039,santa rosa,cuilapa,"centro de educacion extraescolar ""santa rosita""",centro preventivo el boqueron,30157695,jorge baldomero gonzalez barrera,gricelda escobar lemus,diversificado,oficial,rural,abierta,monolingue,matutina,diario(regular),santa rosa
06-01-0118-46,06-039,santa rosa,cuilapa,"""centro de educacion extraescolar -ceex- departamental""","4a. calle 2-55, zona 4 barrio el llanito, cuilapa, santa rosa",78865585,jorge baldomero gonzalez barrera,marta julia barrera barrera de alvarez,diversificado,oficial,urbana,abierta,monolingue,doble,semipresencial,santa rosa
06-01-0119-46,06-001,santa rosa,cuilapa,"colegio catolico eco-tecnologico ""sagrado corazon de jesus""","el boqueron, kilometro 66",35702888,irma yolanda chacon arroyo,juana maria tello garcia de valenzuela,diversificado,privado,rural,abierta,monolingue,matutina,diario(regular),santa rosa
06-01-0122-46,06-001,santa rosa,cuilapa,colegio tecnologico bilingue el hermano pedro,"colonia china, barrio la parroquia",78865470,irma yolanda chacon arroyo,cesar augusto miranda quintanilla,diversificado,privado,rural,abierta,monolingue,sin jornada,semipresencial (un dia a la semana),santa rosa
06-01-1070-46,06-001,santa rosa,cuilapa,colegio particular mixto bilingue santa familia,aldea san juan de arana,77254514,irma yolanda chacon arroyo,david guillermo barrientos valdez,diversificado,privado,rural,abierta,monolingue,vespertina,diario(regular),santa rosa
06-01-1515-46,25-000,santa rosa,cuilapa,instituto guatemalteco de educacion radiofonica (iger),cuilapa,desconocido,sonia haydee reyes monterroso,desconocido,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,a distancia,santa rosa
06-01-1675-46,06-001,santa rosa,cuilapa,colegio tecnologico bilingue el hermano pedro,"colonia china, barrio la parroquia",78865470,irma yolanda chacon arroyo,cesar augusto miranda quintanilla,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),santa rosa
06-01-1989-46,06-001,santa rosa,cuilapa,colegio tecnico industrial emanuel,"colonia china, barrio la parroquia",desconocido,irma yolanda chacon arroyo,marlen janeth lopez calderon de godoy,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),santa rosa
06-02-0005-46,06-027,santa rosa,barberena,instituto mixto de diversificado por cooperativa de ensenanza tecnologico de suroriente,km 55 carretera a el salvador,78232493,yesenia alejandra herrera monterroso de pivaral,ramiro bailon,diversificado,cooperativa,urbana,cerrada temporalmente,monolingue,doble,diario(regular),santa rosa
06-02-0011-46,06-027,santa rosa,barberena,instituto nacional de educacion diversificada,aldea fray bartolome de las casas,78882264,yesenia alejandra herrera monterroso de pivaral,desconocido,diversificado,oficial,rural,abierta,monolingue,matutina,diario(regular),santa rosa
06-02-0020-46,06-027,santa rosa,barberena,"colegio tecnologico mixto bilingue ""belen""","5a. avenida 0-24, zona 1, barrio la iglesia",78871717,yesenia alejandra herrera monterroso de pivaral,erwin federico zea garcia,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),santa rosa
06-02-0022-46,06-027,santa rosa,barberena,colegio tecnico integrado,"lote 10, colonia las estrellas",78870936,yesenia alejandra herrera monterroso de pivaral,allan paolo giron jimenez,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),santa rosa
06-02-0030-46,06-027,santa rosa,barberena,instituto particular mixto de mercadotecnia y publicidad de suroriente,"4a. calle 8-36, zona 1",78445005,yesenia alejandra herrera monterroso de pivaral,karla julisa romero serrano,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),santa rosa
06-02-0032-46,06-027,santa rosa,barberena,instituto particular mixto de mercadotecnia y publicidad de suroriente,"4a. calle 8-36, zona 1",78445005,yesenia alejandra herrera monterroso de pivaral,elma janeth ramirez sandoval de galindo,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,santa rosa
06-02-0037-46,06-027,santa rosa,barberena,"liceo ""san antonio""","lote 30, sector el campo aldea fray bartolome de las casas",50194872,yesenia alejandra herrera monterroso de pivaral,rinalda marilu morales cardona de solares,diversificado,privado,rural,abierta,monolingue,doble,fin de semana,santa rosa
06-02-0038-46,06-027,santa rosa,barberena,instituto mixto diversificado por cooperativa de ensenanza tecnologico de suroriente,cabecera municipal,78232493,yesenia alejandra herrera monterroso de pivaral,gloria lizbeth castaneda barrera,diversificado,cooperativa,urbana,abierta,monolingue,vespertina,diario(regular),santa rosa
06-02-0076-46,06-039,santa rosa,barberena,"centro de educacion extraescolar ""escuela de caficultura""",finca las flores,31692818,jorge baldomero gonzalez barrera,wendy carolina fuentes alvarado,diversificado,privado,rural,abierta,monolingue,doble,fin de semana,santa rosa
06-02-0077-46,06-027,santa rosa,barberena,"colegio particular mixto ""san francisco de asis""",barrio san gabriel,78871692,yesenia alejandra herrera monterroso de pivaral,mario arturo galindo juarez,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),santa rosa
06-02-0080-46,06-027,santa rosa,barberena,"instituto tecnologico privado de santa rosa ""cristo vive""","4a. avenida 1-074, zona 1",78227801,yesenia alejandra herrera monterroso de pivaral,guillermo arturo linares velasquez,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),santa rosa
06-02-0081-46,06-027,santa rosa,barberena,"instituto tecnologico privado de santa rosa ""cristo vive""","4a. avenida 1-074, zona 1",78227801,yesenia alejandra herrera monterroso de pivaral,jose antonio cortez ramirez,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),santa rosa
06-02-0083-46,06-027,santa rosa,barberena,"instituto tecnologico privado de santa rosa ""cristo vive""","4a. avenida 1-074, zona 1",78227801,yesenia alejandra herrera monterroso de pivaral,guillermo arturo linares velasquez,diversificado,privado,urbana,abierta,monolingue,intermedia,diario(regular),santa rosa
06-02-0084-46,06-027,santa rosa,barberena,"instituto tecnologico privado de santa rosa ""cristo vive""","4a. avenida 1-074, zona 1",78227801,yesenia alejandra herrera monterroso de pivaral,jose antonio cortez ramirez,diversificado,privado,urbana,abierta,monolingue,nocturna,diario(regular),santa rosa
06-02-0085-46,06-027,santa rosa,barberena,"instituto tecnologico privado de santa rosa ""cristo vive""","4a. avenida 1-074, zona 1",78227801,yesenia alejandra herrera monterroso de pivaral,jose antonio cortez ramirez,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,santa rosa
06-02-0091-46,06-027,santa rosa,barberena,colegio mixto bilingue campo verde,"4ta. calle final barberena, santa rosa",78870260,yesenia alejandra herrera monterroso de pivaral,henry manrique rodas hernandez,diversificado,privado,rural,abierta,monolingue,matutina,mixto,santa rosa
06-02-0092-46,06-001,santa rosa,barberena,colegio particular mixto bilingue santa familia,"kilometro 57.5 carretera al salvador, aldea san juan de arana, cuilapa, santa rosa aldea san juan de arana, cuilapa, santa rosa",77254514,irma yolanda chacon arroyo,david guillermo barrientos valdez,diversificado,privado,rural,abierta,monolingue,vespertina,diario(regular),santa rosa
06-02-0093-46,06-027,santa rosa,barberena,"colegio mixto ""san jose""","aldea utzumazate barberena, santa rosa",78871400,yesenia alejandra herrera monterroso de pivaral,elio noe lopez,diversificado,privado,rural,abierta,monolingue,doble,diario(regular),santa rosa
06-02-0095-46,06-027,santa rosa,barberena,"instituto tecnologico privado ""cristo vive""",4ta. avenida 1-074 zona 1,78227801,yesenia alejandra herrera monterroso de pivaral,jose antonio cortez ramirez,diversificado,privado,urbana,abierta,monolingue,sin jornada,semipresencial (fin de semana),santa rosa
