CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
07-01-0059-46,07-019,solola,solola,"liceo tecnologico bilingue ""cuauhtemallan de solola""",7 calle 3-25 zona 1,35923669,estela ben ajcalon de tuy,moises guarcax chiroy,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),solola
07-01-0060-46,07-019,solola,solola,"liceo tecnologico bilingue ""cuauthemallan de solola""","7 calle 3-25 zona 1, barrio san antonio",77621955,estela ben ajcalon de tuy,rolando coy yaqui,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),solola
07-01-0061-46,07-019,solola,solola,"liceo tecnologico bilingue ""cuauhtemallan de solola""","7 calle 3-25 zona 1, barrio san antonio",35923669,estela ben ajcalon de tuy,moises guarcax chiroy,diversificado,privado,urbana,abierta,monolingue,doble,diario(regular),solola
07-01-0096-46,07-019,solola,solola,colegio monte sion,6a. avenida 8-07 zona 2 barrio el calvario,77623832,estela ben ajcalon de tuy,jose david tzay puac,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),solola
07-01-0100-46,07-004,solola,solola,instituto nacional de educacion diversificada,aldea argueta,47394202,victor miguel menchu menchu,-,diversificado,oficial,rural,abierta,monolingue,vespertina,diario(regular),solola
07-01-0105-46,07-005,solola,solola,instituto nacional de educacion diversificada,5av. y 13 calle esquina zona 1,desconocido,justo santiago poncio pu,desconocido,diversificado,oficial,urbana,cerrada temporalmente,monolingue,intermedia,diario(regular),solola
07-01-0106-46,07-019,solola,solola,instituto nacional de educacion diversificada,5ta. calle 0-37 barrio san antonio,47583510,estela ben ajcalon de tuy,paulina ester gonzalez petzey,diversificado,oficial,urbana,abierta,monolingue,vespertina,diario(regular),solola
07-01-0121-46,07-004,solola,solola,centro educativo de formacion profesional cefpro,"caserio coxom, aldea san juan argueta",59356919,victor miguel menchu menchu,elias miguel rosales tahay,diversificado,privado,rural,abierta,monolingue,doble,fin de semana,solola
07-01-0124-46,07-019,solola,solola,"liceo tecnologico bilingue ""cuauhtemallan de solola""",7a. calle 3-25 zona 1 barrio san antonio,35923669,estela ben ajcalon de tuy,moises guarcax chiroy,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,solola
07-01-0144-46,07-019,solola,solola,"colegio cientifico ""montessori""","9a. calle 8-81 zona 2, barrio el calvario",77623427,estela ben ajcalon de tuy,yovany israel rosales corzo,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),solola
07-01-0152-46,07-003,solola,solola,liceo profesional las americas,caserio central canton el tablon,77624703,victor chumil chiroy,camilio yaxon cosigua,diversificado,privado,rural,abierta,monolingue,doble,fin de semana,solola
07-01-0158-46,07-002,solola,solola,instituto mixto de educacion diversificada por cooperativa,"caserio central, aldea pixabaj",45684531,carlos rigoberto pos tuy,david fernando paz lpez,diversificado,cooperativa,rural,abierta,monolingue,vespertina,diario(regular),solola
07-01-0162-46,07-004,solola,solola,instituto de educacion diversificada por cooperativa chaquijya,"caserio cooperativa, aldea chaquijya",44554930,victor miguel menchu menchu,victor saloj yaxon,diversificado,cooperativa,rural,abierta,monolingue,vespertina,diario(regular),solola
07-01-0164-46,07-019,solola,solola,instituto tecnologico de la universidad del valle de guatemala altiplano,"km. 137, caserio xolbe aldea el tablon",79310814,estela ben ajcalon de tuy,misael antonio esquina quinom,diversificado,privado,rural,abierta,monolingue,matutina,diario(regular),solola
07-01-0165-46,07-019,solola,solola,escuela en ciencias de la computacion,"3ra. calle 1-30 zona 1, barrio san antonio",77625180,estela ben ajcalon de tuy,luis leonardo argueta mogollon,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,solola
07-01-0166-46,07-019,solola,solola,escuela en ciencias de la computacion,"3ra. calle 1-30 zona 1, barrio san antonio",77625180,estela ben ajcalon de tuy,luis leonardo argueta mogollon,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),solola
07-01-0171-46,07-003,solola,solola,"colegio de educacion basica impacto, empoderando mujeres","km. 137, caserio xolbe, aldea el tablon",32815153,victor chumil chiroy,vilma veronica saloj chiyal,diversificado,privado,rural,abierta,monolingue,matutina,diario(regular),solola
07-01-0174-46,07-024,solola,solola,programa nacional de educacion alternativa -pronea-,13av. 3-18 barrio el carmen,77289930,fredy edgar leonel urizar rodriguez,fredy edgar urizar rodriguez,diversificado,oficial,urbana,abierta,monolingue,doble,a distancia,solola
07-01-0175-46,07-024,solola,solola,"""centro de educacion extraescolar -ceex-departamental""",13 calle 3-18 zona 1,42168347,fredy edgar leonel urizar rodriguez,fredy edgar urizar rodriguez,diversificado,oficial,urbana,abierta,monolingue,doble,semipresencial,solola
07-01-0181-46,07-003,solola,solola,"liceo profesional ""las americas""","caserio central, canton el tablon",77623985,victor chumil chiroy,camilio yaxon cosigua,diversificado,privado,rural,abierta,monolingue,sin jornada,semipresencial (un dia a la semana),solola
07-01-0184-46,07-004,solola,solola,centro educativo de formacion profesional cefpro,"caserio coxom, aldea san juan argueta",33007964,victor miguel menchu menchu,elias miguel rosales tahay,diversificado,privado,rural,abierta,monolingue,sin jornada,semipresencial (fin de semana),solola
07-01-0195-46,07-019,solola,solola,centro educativo intercultural para el desarrollo comunitario ceideco,5av. 2-28 zona 1 barrio san antonio,55629690,estela ben ajcalon de tuy,vilma jeannette par giron alvarado,diversificado,privado,urbana,abierta,monolingue,sin jornada,semipresencial (fin de semana),solola
07-01-0198-46,07-019,solola,solola,"instituto privado urbano mixto ""solola""",6ta. avenida 6-37 barrio el calvario zona 2,77623103,estela ben ajcalon de tuy,carlos venancio meletz toc,diversificado,privado,urbana,abierta,monolingue,sin jornada,semipresencial (un dia a la semana),solola
07-01-0200-46,07-019,solola,solola,centro educativo de formacion tecnica -ceftec-,"6 avenida 13-60 zona 1, barrio el carmen",58255240,estela ben ajcalon de tuy,israel chocoj yac,diversificado,privado,urbana,abierta,monolingue,sin jornada,semipresencial (un dia a la semana),solola
07-01-0499-46,07-019,solola,solola,escuela nacional de ciencias comerciales,13 calle y 5a ave. esquina zona 1,77624233,estela ben ajcalon de tuy,ramiro panjoj bulux,diversificado,oficial,urbana,abierta,monolingue,vespertina,diario(regular),solola
07-01-0500-46,07-019,solola,solola,escuela normal privada,13 calle final zona 1 colonia miralinda,77624433,estela ben ajcalon de tuy,jorge mario zelada sanchez,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),solola
07-01-0577-46,07-019,solola,solola,colegio integral sololateco,"6ta. avenida 6-37 zona 2, barrio el calvario",77623709,estela ben ajcalon de tuy,elsa jeanett sanchez soto,diversificado,privado,urbana,abierta,bilingue,vespertina,diario(regular),solola
07-01-0691-46,07-019,solola,solola,"colegio privado urbano para varones ""atitlan""",13 calle 03-19 zona 1 barrio el carmen,77623319,estela ben ajcalon de tuy,francisco rolando alvarado recinos,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),solola
07-01-0693-46,07-004,solola,solola,"instituto de ciencias comerciales por cooperativa rural mixto ""san juan bautista""",aldea san juan argueta,40579014,victor miguel menchu menchu,wilmer gabriel menchu ajpacaja,diversificado,cooperativa,rural,abierta,bilingue,vespertina,diario(regular),solola
07-01-2483-46,07-019,solola,solola,escuela en ciencias de la computacion,"3a. calle 1-30 zona 1, barrio san antonio",58343319,estela ben ajcalon de tuy,desconocido,diversificado,privado,urbana,abierta,monolingue,doble,diario(regular),solola
07-01-2568-46,07-019,solola,solola,colegio monte sion,6a. avenida 8-07 zona 2 barrio el calvario,77623832,estela ben ajcalon de tuy,jose david tzay puac,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),solola
07-01-2687-46,25-000,solola,solola,instituto guatemalteco de educacion radiofonica (iger),desconocido,desconocido,sonia haydee reyes monterroso,desconocido,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,a distancia,solola
07-01-2702-46,07-003,solola,solola,centro educativo comunitario maya tijob al tz olojya,"caserio central, aldea el tablon",77624283,victor chumil chiroy,santiago panjoj tuy,diversificado,privado,rural,abierta,bilingue,vespertina,diario(regular),solola
07-01-2737-46,07-019,solola,solola,escuela de formacion agricola,caserio molino belen,33048676,estela ben ajcalon de tuy,desconocido,diversificado,oficial,rural,cerrada temporalmente,bilingue,doble,diario(regular),solola
07-01-2767-46,07-019,solola,solola,escuela normal de educacion fisica,"5ta. avenida 2-28 zona 1, barrio san antonio",77625207,estela ben ajcalon de tuy,juana nicolasa tzorin ordonez,diversificado,oficial,urbana,abierta,monolingue,doble,diario(regular),solola
07-01-2768-46,07-019,solola,solola,instituto tecnologico de la universidad del valle de guatemala altiplano,"km. 137, caserio xolbe aldea el tablon",79310814,estela ben ajcalon de tuy,misael antonio esquina quinom,diversificado,privado,rural,abierta,monolingue,doble,diario(regular),solola
07-01-2795-46,desconocido,solola,solola,instituto educativo tulan,caserio santa maria aldea el tablon,desconocido,desconocido,desconocido,diversificado,privado,rural,cerrada temporalmente,monolingue,matutina,dominical,solola
07-01-2807-46,07-019,solola,solola,"liceo mixto privado ""solola""",13 calle entre 4 y 5 calle zona 1 barrio el carmen,55752442,estela ben ajcalon de tuy,desconocido,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),solola
07-01-2837-46,07-019,solola,solola,escuela privada de ciencias comerciales,7a. av. y 11 calle zona 1,77623034,estela ben ajcalon de tuy,desconocido,diversificado,privado,urbana,cerrada temporalmente,monolingue,nocturna,diario(regular),solola
07-02-0006-46,07-005,solola,san jose chacaya,instituto nacional de educacion diversificada,"zona 0, sector centro",50905091,justo santiago poncio pu,zoila elizabeth cua aju,diversificado,oficial,urbana,abierta,monolingue,matutina,diario(regular),solola
07-03-0002-46,07-014,solola,santa maria visitacion,instituto nacional de educacion diversificada,sector sur,41787615,magdalena sosa tzoc de tuj,gladis nohemi moreno gomez,diversificado,oficial,urbana,abierta,monolingue,vespertina,diario(regular),solola
07-03-0008-46,07-014,solola,santa maria visitacion,instituto tecnico cientifico intercultural -iteci-,santa maria visitacion,58542494,magdalena sosa tzoc de tuj,marleny sarai puac dionisio de chavez,diversificado,oficial,urbana,abierta,monolingue,matutina,diario(regular),solola
07-03-0558-46,07-014,solola,santa maria visitacion,instituto privado la salle,.,79271884,magdalena sosa tzoc de tuj,-,diversificado,privado,urbana,cerrada temporalmente,monolingue,doble,diario(regular),solola
07-03-2928-46,07-014,solola,santa maria visitacion,centro educativo comunitario intercultural por madurez cecim,edificio del instituto la salle entrada principal,57274128,magdalena sosa tzoc de tuj,victor quiche ajche,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,solola
07-04-0008-46,07-006,solola,santa lucia utatlan,colegio privado dr. jorge romero imery,"barrio ""el rosario""",77221518,arcadia patricia saquic yac de yac,marcos josue aquino noriega,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),solola
07-04-0009-46,07-006,solola,santa lucia utatlan,"instituto privado de educacion diversificada ""conocimiento y verdad""",2da. calle 1-12 zona 1,77221533,arcadia patricia saquic yac de yac,hector timoteo chaves y chavez,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),solola
07-04-0023-46,07-006,solola,santa lucia utatlan,instituto nacional de educacion diversificada,santa lucia utatlan,45743435,arcadia patricia saquic yac de yac,javier maximo alva noj,diversificado,oficial,urbana,abierta,monolingue,matutina,diario(regular),solola
07-04-0038-46,07-006,solola,santa lucia utatlan,"instituto privado de educacion diversificada ""conocimiento y verdad""",2da. calle 1-12 zona 1,77221533,arcadia patricia saquic yac de yac,hector timoteo chavez y chavez,diversificado,privado,urbana,cerrada temporalmente,monolingue,doble,fin de semana,solola
07-04-0041-46,07-006,solola,santa lucia utatlan,escuela normal regional de occidente,"parcelamiento el molino san pedro, canton chuchexic",78234597,arcadia patricia saquic yac de yac,enrique rafael chiyal to,diversificado,oficial,rural,abierta,monolingue,matutina,diario(regular),solola
07-04-0042-46,07-006,solola,santa lucia utatlan,escuela normal regional de occidente,"canton chuchexic, parcelamiento el molino san pedro",78234597,arcadia patricia saquic yac de yac,arnoldo saqueo chavez xitamul,diversificado,oficial,rural,abierta,monolingue,doble,diario(regular),solola
