CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
10-01-0078-46,10-019,suchitepequez,mazatenango,colegio privado mixto liceo mazateco,6a. avenida 2-21 zona 1,57154933,reyna del rosario chavez barrow de pacheco,marco tulio mancio mendez,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),suchitepequez
10-01-0080-46,10-001,suchitepequez,mazatenango,instituto privado mixto de educacion diversificada republica de guatemala,8a calle 2-35 zona 1,78720041,rita elena gonzalez garcia,desconocido,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),suchitepequez
10-01-0081-46,desconocido,suchitepequez,mazatenango,instituto privado mixto de educacion diversificada 'republica de guatemala',3a ave. 6-29 zona 1,desconocido,desconocido,desconocido,diversificado,privado,urbana,cerrada temporalmente,monolingue,nocturna,diario(regular),suchitepequez
10-01-0083-46,10-019,suchitepequez,mazatenango,instituto privado mixto tecnologico del suroccidente,finca chojoja,78718369,reyna del rosario chavez barrow de pacheco,reina isabel hernandez gomez,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),suchitepequez
10-01-0086-46,10-019,suchitepequez,mazatenango,colegio latinoamericano gospel,salida a guatemala km. 150.5,78723282,reyna del rosario chavez barrow de pacheco,juan miguel rodas mendez,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),suchitepequez
10-01-0087-46,10-019,suchitepequez,mazatenango,instituto div. bachillerato adsc. al instituto rafael landivar,canton santa cristina,desconocido,reyna del rosario chavez barrow de pacheco,desconocido,diversificado,oficial,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),suchitepequez
10-01-0088-46,10-018,suchitepequez,mazatenango,escuela nacional de ciencias comerciales,canton santa cristina zona 2,55023086,juana maria cifuentes perez,.,diversificado,oficial,urbana,abierta,monolingue,nocturna,diario(regular),suchitepequez
10-01-0089-46,10-019,suchitepequez,mazatenango,colegio latinoamericano gospel,salida a guatemala km. 150.5,78723282,reyna del rosario chavez barrow de pacheco,juan miguel rodas mendez,diversificado,privado,urbana,cerrada temporalmente,monolingue,doble,fin de semana,suchitepequez
10-01-0092-46,10-019,suchitepequez,mazatenango,instituto privado mixto de educacion diversificada rafael landivar,12 calle 4-57 zona 1,78722086,reyna del rosario chavez barrow de pacheco,-,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),suchitepequez
10-01-0095-46,10-018,suchitepequez,mazatenango,"colegio particular mixto ""la ilustracion""",3a ave. 4-92 zona 1,41639696,juana maria cifuentes perez,antonio rocha ramos,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),suchitepequez
10-01-0096-46,10-018,suchitepequez,mazatenango,instituto privado mixto de educacion diversificada de ciencias comerciales,7a ave. 8a calle zona 1,desconocido,juana maria cifuentes perez,.,diversificado,privado,urbana,cerrada temporalmente,monolingue,nocturna,diario(regular),suchitepequez
10-01-0097-46,10-019,suchitepequez,mazatenango,"colegio privado mixto ""perpetuo socorro""",1a calle 3-39 zona 1,41614325,reyna del rosario chavez barrow de pacheco,senaida anavela barrientos caseros,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),suchitepequez
10-01-0098-46,10-019,suchitepequez,mazatenango,instituto de computacion informatica,"colonia san bartolome, 4a. calle final",78679993,reyna del rosario chavez barrow de pacheco,jose maria rodriguez tomas,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),suchitepequez
10-01-0099-46,10-019,suchitepequez,mazatenango,colegio privado mixto nuestra senora del rosario,2a ave. 4-84 zona 1,78724768,reyna del rosario chavez barrow de pacheco,carlos alberto sarda,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),suchitepequez
10-01-0100-46,10-018,suchitepequez,mazatenango,colegio tecnico suchitepequez,calzada centenario 1-00 zona 2 1er. grupo colonia flor del cafe,78679530,juana maria cifuentes perez,brenda loreny perez mayorga,diversificado,privado,urbana,cerrada temporalmente,monolingue,doble,fin de semana,suchitepequez
10-01-0104-46,10-018,suchitepequez,mazatenango,instituto privado mixto profesional vision educativa 2000,"2a. calle 2-65 zona 2, colonia maya barrio la union",78679919,juana maria cifuentes perez,luis alberto linares chapeton,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,suchitepequez
