CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
08-01-0106-46,08-001,totonicapan,totonicapan,escuela normal nacional rural de occidente guillermo ovando arriola,zona 5 paraje parramon,77661038,miguel ajpop vasquez,otto gilberto amado tello,diversificado,oficial,rural,abierta,bilingue,matutina,diario(regular),totonicapan
08-01-0107-46,08-024,totonicapan,totonicapan,"colegio mixto particular ""juan franklin""",3a calle 12-08 zona 2,77661920,miguel ajpop vasquez,jose luis ixcaquic aguilar,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),totonicapan
08-01-0201-46,08-023,totonicapan,totonicapan,instituto nacional de educacion ciclo diversificado,"paraje xecoxom i, aldea paxtoca",45293003,---------------------------- ----------------------------------,benjamin rafael tzunun cua,diversificado,oficial,rural,cerrada temporalmente,monolingue,vespertina,diario(regular),totonicapan
08-01-0203-46,08-024,totonicapan,totonicapan,colegio privado mixto la familia,6a avenida 1-47 zona 1,77667184,miguel ajpop vasquez,nicolas ignacio ajucum lopez,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),totonicapan
08-01-0212-46,08-024,totonicapan,totonicapan,colegio privado mixto el shadai,"8a calle 5-00, zona 4,",59238825,miguel ajpop vasquez,jesus cristina lopez tzoc,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),totonicapan
08-01-0214-46,08-024,totonicapan,totonicapan,colegio privado mixto la familia,6a avenida 1-47 zona 1,77667184,miguel ajpop vasquez,higinio david juarez rodriguez,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),totonicapan
08-01-0217-46,08-003,totonicapan,totonicapan,"instituto mixto de educacion diversificada por cooperativa, k ak no jib al",aldea chuatroj,57377254,gladys esperanza pacheco gutierrez,victor felipe baquiax puac,diversificado,cooperativa,rural,abierta,monolingue,vespertina,diario(regular),totonicapan
08-01-0222-46,08-024,totonicapan,totonicapan,colegio privado mixto la familia,6a avenida 1-47 zona 1 totonicapan,77667184,miguel ajpop vasquez,higinio david juarez rodriguez,diversificado,privado,urbana,abierta,monolingue,doble,diario(regular),totonicapan
08-01-0227-46,08-001,totonicapan,totonicapan,colegio preuniversitario jerusalen,"paraje xenajtajuyup, canton chiyax",47047663,miguel ajpop vasquez,jesus encarnacion puac chamorro,diversificado,privado,rural,cerrada temporalmente,monolingue,vespertina,diario(regular),totonicapan
08-01-0229-46,08-001,totonicapan,totonicapan,colegio privado mixto la semilla,"11 avenida 2-40 zona 2, totonicapan",77667181,miguel ajpop vasquez,karla isela lopez bulux,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),totonicapan
08-01-0232-46,08-024,totonicapan,totonicapan,centro de estudios avanzados de totonicapan,"9 calle ""a"" 08-043 zona 3",56769964,miguel ajpop vasquez,luis nery morales garcia,diversificado,privado,urbana,abierta,monolingue,doble,diario(regular),totonicapan
08-01-0233-46,08-024,totonicapan,totonicapan,centro de estudios avanzados de totonicapan,"9 calle ""a"" 08-043 zona 3",56769964,miguel ajpop vasquez,luis nery morales garcia,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),totonicapan
08-01-0237-46,08-001,totonicapan,totonicapan,colegio adventista maranatha,4ta. calle 0-10 de la zona 2,77661520,miguel ajpop vasquez,patrocinio abelino tzul barreno,diversificado,privado,rural,cerrada temporalmente,monolingue,doble,fin de semana,totonicapan
08-01-0238-46,08-024,totonicapan,totonicapan,colegio adventista maranatha,4ta. calle 0-10 de la zona 2,77661520,miguel ajpop vasquez,patrocinio abelino tzul barreno,diversificado,privado,rural,abierta,monolingue,matutina,diario(regular),totonicapan
