CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
19-01-0078-46,19-001,zacapa,zacapa,instituto diversificado adscrito al instituto de educacion media experimental jose rodriguez cerna,"7a. avenida ""a"" final y 9a. calle zona 2 barrio la reforma",79414031,sonia haydee ruiz wong,marco antonio lopez ramos,diversificado,oficial,urbana,abierta,monolingue,vespertina,diario(regular),zacapa
19-01-0079-46,19-001,zacapa,zacapa,escuela nacional de ciencias comerciales mixta nocturna,4a. calle 16-10 zona 1. barrio el calvario,57129013,sonia haydee ruiz wong,elmer ottoniel avalos miguel,diversificado,oficial,urbana,abierta,monolingue,nocturna,diario(regular),zacapa
19-01-0082-46,99-001,zacapa,zacapa,instituto privado mixto de educacion diversificada de administracion publica jn,barrio las flores,desconocido,silvia eugenia valdez monterroso de carballo,desconocido,diversificado,privado,urbana,temporal titulos,monolingue,nocturna,diario(regular),zacapa
19-01-0083-46,desconocido,zacapa,zacapa,instituto privado mixto de educacion diversificada de administracion publica jv,barrio las flores,desconocido,desconocido,desconocido,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),zacapa
19-01-0084-46,19-001,zacapa,zacapa,instituto adolfo v. hall de oriente,barrio cruz de mayo zona 3,44974287,sonia haydee ruiz wong,julio roberto barrientos gonzalez,diversificado,oficial,urbana,abierta,monolingue,doble,diario(regular),zacapa
19-01-0085-46,19-019,zacapa,zacapa,"colegio particular mixto luterano "" el divino salvador""",4a calle 2-31 zona 2,79410254,hugo wilfredo vargas chacon,antonio salvador ramirez rivas,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),zacapa
19-01-0086-46,19-019,zacapa,zacapa,centro educativo juvenil catolico nuestra senora de fatima,12 calle a 14-03 zona 1,79410382,hugo wilfredo vargas chacon,fidias roberto monroy lemus,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),zacapa
19-01-0116-46,19-001,zacapa,zacapa,instituto nacional de educacion diversificada,"7a. avenida ""a"" final y 9a. calle zona 2 barrio la reforma",42053474,sonia haydee ruiz wong,marcy julissa jiatz alonzo,diversificado,oficial,urbana,abierta,monolingue,vespertina,diario(regular),zacapa
19-01-0143-46,19-002,zacapa,zacapa,instituto mixto de educacion diversificada por cooperativa,aldea san jorge,desconocido,maria elena garcia contreras de quinto,victor hugo guerra monroy,diversificado,cooperativa,rural,cerrada temporalmente,monolingue,matutina,diario(regular),zacapa
19-01-0144-46,19-019,zacapa,zacapa,"colegio ""san francisco javier de zacapa""","kilometro 3, carretera de aldea manzanotes",77208200,hugo wilfredo vargas chacon,silvia amarilys reyes alvarez de garcia,diversificado,privado,urbana,abierta,monolingue,doble,diario(regular),zacapa
19-01-0148-46,19-019,zacapa,zacapa,instituto tecnico de educacion industrial,"barrio la reforma, loma del chaparro zona 2",41830223,hugo wilfredo vargas chacon,carmen elizabeth garcia ramirez,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),zacapa
19-01-0149-46,19-019,zacapa,zacapa,colegio bilingue montessori,4ta. calle 3-41 zona 2,79410965,hugo wilfredo vargas chacon,magda yohana sanchez monterroso de ortega,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),zacapa
19-01-0156-46,19-019,zacapa,zacapa,liceo cristo rey,8a. calle 9-06 zona 2 barrio la reforma,54138046,hugo wilfredo vargas chacon,edna edith ramirez cordon,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,zacapa
19-01-0160-46,19-019,zacapa,zacapa,colegio particular mixto liceo cristiano zacapaneco,12 avenida y 8a. calle esquina zona 1,79410316,hugo wilfredo vargas chacon,lucy raquel aparicio roldan,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),zacapa
19-01-0162-46,19-019,zacapa,zacapa,colegio privado mixto evangelico elim,"residenciales shalom, calzada ramiro de leon carpio",55146704,hugo wilfredo vargas chacon,lourdes julissa salguero zabaleta,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),zacapa
19-01-0166-46,desconocido,zacapa,zacapa,"instituto de educacion basica y bachillerato por madurez ""superacion integral""",aldea los jocotes,24106060,desconocido,flor de maria lopez barrios,diversificado,oficial,rural,cerrada temporalmente,monolingue,vespertina,diario(regular),zacapa
19-01-0170-46,19-019,zacapa,zacapa,colegio cristiano verbo zacapa,calzada ramiro de leon carpio a un costado del igss,58289369,hugo wilfredo vargas chacon,rocio alejandra delgado zuniga,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),zacapa
19-01-0175-46,19-019,zacapa,zacapa,instituto tecnico de educacion industrial,"ciudad victoria, barrio nuevo",79415915,hugo wilfredo vargas chacon,carmen elizabeth garcia ramirez de palacios,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),zacapa
19-01-0177-46,19-019,zacapa,zacapa,instituto tecnico de educacion industrial,"ciudad victoria, barrio nuevo",79415915,hugo wilfredo vargas chacon,carmen elizabeth garcia ramirez de palacios,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,zacapa
19-01-0178-46,19-019,zacapa,zacapa,liceo cristo rey,8a. calle 9-6 barrio la reforma zona 2,54138046,hugo wilfredo vargas chacon,edna edith ramirez cordon,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),zacapa
19-01-0179-46,19-019,zacapa,zacapa,liceo cristo rey,8a. calle 9-6 barrio la reforma zona 2,79410104,hugo wilfredo vargas chacon,claudia azuecena de los reyes diaz,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),zacapa
19-01-0183-46,19-019,zacapa,zacapa,liceo cristo rey,8a. calle 9-06 zona 2 barrio la reforma,54138046,hugo wilfredo vargas chacon,edna edith ramirez cordon,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,zacapa
19-01-0192-46,19-019,zacapa,zacapa,"colegio ""higa""",bosques de san julian zacapa,42876685,hugo wilfredo vargas chacon,marcy magaleth carrera paiz,diversificado,privado,urbana,abierta,monolingue,vespertina,diario(regular),zacapa
19-01-0193-46,19-019,zacapa,zacapa,"colegio ""higa""",bosques de san julian zacapa,42876685,hugo wilfredo vargas chacon,marcy magaleth carrera paiz,diversificado,privado,urbana,cerrada temporalmente,monolingue,nocturna,diario(regular),zacapa
19-01-0194-46,19-019,zacapa,zacapa,"colegio ""higa""",bosques de san julian zacapa,42876685,hugo wilfredo vargas chacon,marcy magaleth carrera paiz,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,zacapa
19-01-0202-46,19-019,zacapa,zacapa,instituto tecnico privado vocacional,9a. calle 17-27 zona 3 barrio el tamarindal zacapa,79416343,hugo wilfredo vargas chacon,edwin orlando lucas vanegas,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),zacapa
19-01-0204-46,19-019,zacapa,zacapa,colegio privado bilingue sagrado corazon de jesus,8a. calle entre 9a. y 10a. avenida de la zona 2 barrio la laguna zacapa,30375189,hugo wilfredo vargas chacon,marta lyli rivas tobar,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),zacapa
19-01-0205-46,19-018,zacapa,zacapa,programa nacional de educacion alternativa -pronea-,3ra. calle entre 14 y 15 av. zona 1 zacapa,79416215,mayra marivel lopez hernandez,berta andrea lopez saquec,diversificado,oficial,urbana,abierta,monolingue,doble,a distancia,zacapa
19-01-0206-46,19-018,zacapa,zacapa,"""centro de educacion extraescolar -ceex-departamental""",3ra. cale entre 14 y 15 avenida zona 1 zacapa,79416215,mayra marivel lopez hernandez,carlos josue rosales de paz,diversificado,oficial,rural,abierta,monolingue,doble,semipresencial,zacapa
19-01-0209-46,19-019,zacapa,zacapa,"centro de educacion a distancia ""itzamna""","5ta calle 11-20, zona 1",58765309,hugo wilfredo vargas chacon,aida consuelo chacon marin,diversificado,privado,urbana,abierta,monolingue,sin jornada,semipresencial (un dia a la semana),zacapa
